,x,y,price_level,category,predicted_success,distance_to_water,restaurant_density,crime_count,population,share_under_18_years_old,share_65_year_olds_and_older,share_foreigners,population_with_migration_background,share_population_with_migration_background,households,share_one_person_households,share_households_with_children,share_households_with_single_parents,population_density,employment_quote_in_%,share_unemployed_people,sum_of_incomes_per_tax_reliable_person_in_EUR,prices_for_properties,prices_for_condominiums,share_students_in_Gymnasium,car_density
238,563645.0,5922563,€,hotdogs,1.1977914927572482,15.59021,3,,24324.0,16.7,21.06150304,16.58855451,9030.0,37.14826395,12985.0,49.62649211,19.10666153,26.1185006,2916.8505149999996,56.90429502,5.781516857000001,32988.0,307,2123,42.8021555,363.7970729
632,576645.0,5945563,€,hotdogs,1.1951383186116995,38.67287,3,1249.0,20625.0,20.2,26.21090909,6.317575757999999,3250.0,15.7782309,9417.0,37.13496867,25.32653711,21.21593291,1781.665903,50.3320723,2.6481715009999998,63763.0,609,3673,58.78249841,450.7636364
638,577645.0,5917563,€,hotdogs,1.1951383186116995,28.186290000000003,3,294.0,9804.0,17.2,20.03263974,7.303141575,1224.0,12.49107052,4480.0,33.90625,23.41517857,18.11248808,303.4535889,62.18435321,2.106893881,39284.0,221,.    ,34.375,546.4096287000001
501,572645.0,5944563,€,hotdogs,1.1951383186116995,90.76659000000001,3,780.0,23490.0,18.8,25.69178374,5.334184758999999,3652.0,15.55366269,11095.0,36.66516449,23.97476341,14.09774436,2808.7753399999997,54.81823428,2.0701096359999998,61360.0,503,2877,67.37766625,514.3465304
335,566645.0,5940563,€,hotdogs,1.1086345860936442,72.296,7,1301.0,14428.0,16.1,19.57998337,12.37870807,3712.0,25.74023993,7659.0,53.68847108,17.96579188,24.85465116,4572.709268,54.69269103,3.519518272,52426.0,821,4261,56.79389313,359.37066810000005
225,562645.0,5934563,€,hotdogs,1.1086345860936442,360.08679,15,4775.0,29034.0,15.1,12.92278019,19.64937659,10960.0,37.7579495,17741.0,62.62330196,16.3237698,31.21546961,10682.61956,55.95587208,7.331378299,30833.0,1349,5745,40.42379788,232.17606940000002
224,562645.0,5933563,€,hotdogs,1.1086345860936442,242.41412999999997,17,4775.0,29034.0,15.1,12.92278019,19.64937659,10960.0,37.7579495,17741.0,62.62330196,16.3237698,31.21546961,10682.61956,55.95587208,7.331378299,30833.0,1349,5745,40.42379788,232.17606940000002
226,562645.0,5935563,€,hotdogs,1.1086345860936442,79.02935,7,369.0,22137.0,15.7,10.1142883,18.82820617,7959.0,35.96962986,13596.0,63.43042071,16.26949103,27.35081374,9981.437724,56.99881376,7.158956109,29901.0,1055,5745,38.1489842,235.80430950000002
228,562645.0,5937563,€,hotdogs,1.1086345860936442,327.98548,15,2303.0,25634.0,13.8,19.12303971,18.47156121,8586.0,33.48543349,14439.0,57.60094189,15.06337004,24.36781609,4209.747395,59.33811487,4.96978596,32600.0,492,3340,48.63013699,318.79534989999996
227,562645.0,5936563,€,hotdogs,1.1086345860936442,103.80643,15,,57055.0,12.6,12.530014900000001,11.99544299,13148.0,23.05210744,38461.0,67.55934583,12.93258106,26.11580217,17688.463330000002,61.26941815,3.970953213,37536.0,1451,4396,61.06489185,266.18175440000005
229,562645.0,5938563,€,hotdogs,1.1086345860936442,196.43972,4,1583.0,28426.0,16.9,20.38626609,13.804263699999998,8326.0,29.30967719,15393.0,53.96608848,19.06061197,21.30197682,5805.727005,59.59541324,3.8673734310000003,41778.0,736,3656,57.83699059999999,336.8043341
627,576645.0,5940563,€,hotdogs,1.1086345860936442,59.81652,5,5976.0,90631.0,17.3,22.67215412,12.51117167,28324.0,31.26579903,46401.0,46.10460981,20.45861081,26.96723902,3411.543072,58.15357766,5.108202443,33419.0,418,2670,41.36980909,397.46885719999995
232,562645.0,5941563,€,hotdogs,1.1086345860936442,122.78645,8,2819.0,41836.0,15.7,26.00870064,10.47423272,9189.0,21.98115013,21637.0,47.39104312,18.46836438,19.76976977,3369.0920539999997,59.21279599,3.136270974,41651.0,515,3259,60.68204614,420.0449374
410,569645.0,5935563,€,hotdogs,1.1086345860936442,61.28666,9,1858.0,21505.0,11.5,15.90327831,14.55010463,6473.0,30.11818351,14252.0,66.31349986,11.27561044,25.82451773,12278.90259,66.05752324,4.703592062,32559.0,926,3884,43.52750809,295.140665
339,566645.0,5944563,€,hotdogs,1.1086345860936442,88.78943000000001,6,4015.0,45586.0,17.6,19.52134427,15.65831615,14120.0,31.00162473,22845.0,48.08929744,20.16633837,26.48144129,3410.3023789999997,57.12718934,5.340822227,30965.0,332,3450,41.13300493,364.84885710000003
