,x,y,price_level,category,predicted_success
0,548645.0,5934563,€€€,cafes,0.7653105528072107
1,549645.0,5934563,€€€,cafes,0.33461549104676225
2,549645.0,5935563,€€€,cafes,0.7653105528072107
3,549645.0,5936563,€€€,cafes,0.7653105528072107
4,549645.0,5937563,€€€,cafes,0.8714192106979368
5,549645.0,5938563,€€€,cafes,0.7653105528072107
6,549645.0,5939563,€€€,cafes,0.7653105528072107
7,550645.0,5934563,€€€,cafes,0.7630189830560242
8,550645.0,5935563,€€€,cafes,0.8691276409467503
9,550645.0,5936563,€€€,cafes,0.7653105528072107
10,550645.0,5937563,€€€,cafes,0.8789699240275504
11,550645.0,5938563,€€€,cafes,0.7653105528072107
12,550645.0,5939563,€€€,cafes,0.8714192106979368
13,550645.0,5940563,€€€,cafes,0.7653105528072107
14,550645.0,5941563,€€€,cafes,0.7653105528072107
15,551645.0,5928563,€€€,cafes,0.7653105528072107
16,551645.0,5929563,€€€,cafes,0.7653105528072107
17,551645.0,5931563,€€€,cafes,0.7653105528072107
18,551645.0,5932563,€€€,cafes,0.7653105528072107
19,551645.0,5933563,€€€,cafes,0.7653105528072107
20,551645.0,5934563,€€€,cafes,0.32899223314683834
21,551645.0,5935563,€€€,cafes,0.8691276409467503
22,551645.0,5936563,€€€,cafes,0.7653105528072107
23,551645.0,5937563,€€€,cafes,0.7653105528072107
24,551645.0,5938563,€€€,cafes,0.7653105528072107
25,551645.0,5939563,€€€,cafes,0.7653105528072107
26,551645.0,5940563,€€€,cafes,0.7653105528072107
27,552645.0,5927563,€€€,cafes,0.7653105528072107
28,552645.0,5928563,€€€,cafes,0.7653105528072107
29,552645.0,5929563,€€€,cafes,0.7653105528072107
30,552645.0,5930563,€€€,cafes,0.7653105528072107
31,552645.0,5931563,€€€,cafes,0.7653105528072107
32,552645.0,5932563,€€€,cafes,0.7653105528072107
33,552645.0,5933563,€€€,cafes,0.7653105528072107
34,552645.0,5934563,€€€,cafes,0.8691276409467503
35,552645.0,5935563,€€€,cafes,0.8691276409467503
36,552645.0,5936563,€€€,cafes,0.7653105528072107
37,552645.0,5937563,€€€,cafes,0.8714192106979368
38,552645.0,5938563,€€€,cafes,0.7653105528072107
39,553645.0,5924563,€€€,cafes,0.7653105528072107
40,553645.0,5925563,€€€,cafes,0.7653105528072107
41,553645.0,5926563,€€€,cafes,0.7653105528072107
42,553645.0,5927563,€€€,cafes,0.7653105528072107
43,553645.0,5928563,€€€,cafes,0.7653105528072107
44,553645.0,5929563,€€€,cafes,0.7653105528072107
45,553645.0,5930563,€€€,cafes,0.8789699240275504
46,553645.0,5931563,€€€,cafes,0.7653105528072107
47,553645.0,5932563,€€€,cafes,0.33461549104676225
48,553645.0,5933563,€€€,cafes,0.7653105528072107
49,553645.0,5934563,€€€,cafes,0.9237911020282424
50,553645.0,5935563,€€€,cafes,0.9237911020282424
51,553645.0,5936563,€€€,cafes,0.8818330118971981
52,553645.0,5937563,€€€,cafes,0.7653105528072107
53,554645.0,5923563,€€€,cafes,0.7653105528072107
54,554645.0,5924563,€€€,cafes,0.7653105528072107
55,554645.0,5925563,€€€,cafes,0.7653105528072107
56,554645.0,5926563,€€€,cafes,0.7653105528072107
57,554645.0,5927563,€€€,cafes,0.7653105528072107
58,554645.0,5928563,€€€,cafes,0.7653105528072107
59,554645.0,5929563,€€€,cafes,0.8714192106979368
60,554645.0,5930563,€€€,cafes,0.7653105528072107
61,554645.0,5931563,€€€,cafes,0.7653105528072107
62,554645.0,5932563,€€€,cafes,0.7653105528072107
63,554645.0,5933563,€€€,cafes,0.7653105528072107
64,554645.0,5934563,€€€,cafes,0.876678354276364
65,554645.0,5935563,€€€,cafes,0.7653105528072107
66,554645.0,5936563,€€€,cafes,0.9260826717794289
67,554645.0,5937563,€€€,cafes,0.7653105528072107
68,555645.0,5923563,€€€,cafes,0.7653105528072107
69,555645.0,5924563,€€€,cafes,0.7653105528072107
70,555645.0,5925563,€€€,cafes,0.7653105528072107
71,555645.0,5926563,€€€,cafes,0.7653105528072107
72,555645.0,5927563,€€€,cafes,0.7653105528072107
73,555645.0,5928563,€€€,cafes,0.7630189830560242
74,555645.0,5929563,€€€,cafes,0.7630189830560242
75,555645.0,5930563,€€€,cafes,0.7653105528072107
76,555645.0,5931563,€€€,cafes,0.7653105528072107
77,555645.0,5932563,€€€,cafes,0.7653105528072107
78,555645.0,5933563,€€€,cafes,0.9237911020282424
79,555645.0,5934563,€€€,cafes,0.876678354276364
80,555645.0,5935563,€€€,cafes,0.7653105528072107
81,555645.0,5936563,€€€,cafes,0.8714192106979368
82,555645.0,5937563,€€€,cafes,0.7653105528072107
83,555645.0,5938563,€€€,cafes,0.7653105528072107
84,556645.0,5921563,€€€,cafes,0.7653105528072107
85,556645.0,5922563,€€€,cafes,0.7653105528072107
86,556645.0,5923563,€€€,cafes,0.7653105528072107
87,556645.0,5924563,€€€,cafes,0.8818330118971981
88,556645.0,5925563,€€€,cafes,0.9260826717794289
89,556645.0,5926563,€€€,cafes,0.7653105528072107
90,556645.0,5927563,€€€,cafes,0.7653105528072107
91,556645.0,5928563,€€€,cafes,0.7630189830560242
92,556645.0,5929563,€€€,cafes,0.7630189830560242
93,556645.0,5930563,€€€,cafes,0.7653105528072107
94,556645.0,5931563,€€€,cafes,0.7653105528072107
95,556645.0,5932563,€€€,cafes,0.7653105528072107
96,556645.0,5933563,€€€,cafes,0.876678354276364
97,556645.0,5934563,€€€,cafes,0.8691276409467503
98,556645.0,5935563,€€€,cafes,0.7653105528072107
