,x,y,price_level,category,predicted_success,distance_to_water,restaurant_density,crime_count,population,share_under_18_years_old,share_65_year_olds_and_older,share_foreigners,population_with_migration_background,share_population_with_migration_background,households,share_one_person_households,share_households_with_children,share_households_with_single_parents,population_density,employment_quote_in_%,share_unemployed_people,sum_of_incomes_per_tax_reliable_person_in_EUR,prices_for_properties,prices_for_condominiums,share_students_in_Gymnasium,car_density
367,567645.0,5935563,€,kebab,0.741897788325051,61.32589,20,1347.0,9886.0,1176.0,16.32611774,18.81448513,3546.0,35.89432129,6229.0,65.30743297,11.22170493,21.17310443,8561.153143000001,58.60356009,4.22243687,39541.0,1475,4273,50.37878788,273.7204127
368,567645.0,5936563,€,kebab,0.741897788325051,51.66852,15,1386.0,17599.0,2163.0,19.53520086,11.14267856,4220.0,23.98408639,11295.0,63.0455954,13.23594511,20.13377926,8070.670984,60.14988596,2.997719127,62479.0,2943,6246,72.2,361.6682766
369,567645.0,5937563,€,kebab,0.741897788325051,17.14913,24,4177.0,54826.0,6845.0,14.70835005,12.09097873,12849.0,23.44750817,35273.0,65.20851643,13.06948658,23.64425163,7228.872484999999,62.43803073,3.5046384919999998,51627.0,2639,5020,59.21521998,321.2526903
446,570645.0,5936563,€,kebab,0.741897788325051,23.39203,26,4547.0,34469.0,4177.0,19.09541907,15.90414575,11395.0,33.0750029,21220.0,61.20640905,12.71913289,26.56539459,5799.367421,63.36198034,4.996093589,28567.0,452,3413,43.90665514,331.3412051
257,563645.0,5935563,€,kebab,0.741897788325051,81.75853000000001,72,,262130.0,39569.0,19.01422958,13.55815817,71787.0,27.39920001,151685.0,57.13089627,16.46240564,23.61138921,5263.654618,58.46107318,4.073300365,44653.0,.    ,.    ,56.30752572,343.9400298
315,565645.0,5939563,€,kebab,0.741897788325051,31.691779999999998,9,4177.0,54826.0,6845.0,14.70835005,12.09097873,12849.0,23.44750817,35273.0,65.20851643,13.06948658,23.64425163,7228.872484999999,62.43803073,3.5046384919999998,51627.0,2639,5020,59.21521998,321.2526903
344,566645.0,5940563,€,kebab,0.741897788325051,72.296,7,1301.0,14428.0,2326.0,19.57998337,12.37870807,3712.0,25.74023993,7659.0,53.68847108,17.96579188,24.85465116,4572.709268,54.69269103,3.519518272,52426.0,821,4261,56.79389313,359.37066810000005
341,566645.0,5937563,€,kebab,0.741897788325051,130.44961,33,4177.0,54826.0,6845.0,14.70835005,12.09097873,12849.0,23.44750817,35273.0,65.20851643,13.06948658,23.64425163,7228.872484999999,62.43803073,3.5046384919999998,51627.0,2639,5020,59.21521998,321.2526903
256,563645.0,5935563,€,kebab,0.741897788325051,81.75853000000001,72,,57055.0,7192.0,12.530014900000001,11.99544299,13148.0,23.05210744,38461.0,67.55934583,12.93258106,26.11580217,17688.463330000002,61.26941815,3.970953213,37536.0,1451,4396,61.06489185,266.18175440000005
283,564645.0,5933563,€,kebab,0.741897788325051,49.27068,58,4893.0,12657.0,1440.0,14.26088331,21.39527534,4714.0,37.2471555,8743.0,69.43840787,11.40340844,29.08726179,5595.732556,58.35761865,5.85970025,34521.0,.    ,4265,46.564885499999995,250.2962787
313,565645.0,5937563,€,kebab,0.741897788325051,65.45747,8,1494.0,17822.0,2791.0,20.41858377,12.78195489,4592.0,25.77169155,10812.0,59.572697,15.8527562,21.76196033,8691.435276,47.72247106,3.549395758,111088.0,3771,8101,82.17054264,384.8614072
312,565645.0,5936563,€,kebab,0.741897788325051,54.99725,9,1494.0,17822.0,2791.0,20.41858377,12.78195489,4592.0,25.77169155,10812.0,59.572697,15.8527562,21.76196033,8691.435276,47.72247106,3.549395758,111088.0,3771,8101,82.17054264,384.8614072
311,565645.0,5935563,€,kebab,0.741897788325051,113.08346999999999,22,1772.0,16456.0,2244.0,15.7936315,16.82061254,4882.0,29.67781155,10668.0,64.8856393,13.37645294,22.63489839,6016.138723,50.9962169,2.90037831,68191.0,3376,6178,82.05980066,328.8162372
674,577645.0,5926563,€,kebab,0.741897788325051,15.32899,4,,23715.0,5573.0,8.252161079,16.63925785,15234.0,64.28390581,9596.0,29.86661109,33.53480617,26.38284649,5640.730327,57.66946191,5.607966457000001,28633.0,275,.    ,39.87538941,331.2249631
118,557645.0,5938563,€,kebab,0.741897788325051,31.99312,9,2339.0,36053.0,7178.0,18.41733004,19.47133387,16821.0,46.66407745,17530.0,44.54078722,23.42840844,29.24275627,5729.666455,55.42302595,7.742294045,26665.0,445,2755,34.55565142,325.93681519999996
310,565645.0,5934563,€,kebab,0.741897788325051,92.2046,78,4893.0,12657.0,1440.0,14.26088331,21.39527534,4714.0,37.2471555,8743.0,69.43840787,11.40340844,29.08726179,5595.732556,58.35761865,5.85970025,34521.0,.    ,4265,46.564885499999995,250.2962787
309,565645.0,5933563,€,kebab,0.741897788325051,26.284259999999996,74,,2257.0,262.0,10.98803722,22.95081967,965.0,42.75587062,1463.0,61.51742994,12.78195489,26.20320856,1735.6902460000001,61.79458239,4.909706546000001,31336.0,.    ,4113,45.45454545,311.4754098
654,576645.0,5940563,€,kebab,0.741897788325051,59.81652,5,5976.0,90631.0,15645.0,22.67215412,12.51117167,28324.0,31.26579903,46401.0,46.10460981,20.45861081,26.96723902,3411.543072,58.15357766,5.108202443,33419.0,418,2670,41.36980909,397.46885719999995
305,565645.0,5929563,€,kebab,0.741897788325051,19.10193,5,6671.0,55074.0,11528.0,13.33115445,33.95613175,33262.0,60.38852578,25984.0,48.63762315,23.33743842,26.418205800000003,1556.34644,50.59246055,9.392859015,21890.0,184,2593,22.04227285,245.61499069999996
300,565645.0,5924563,€,kebab,0.741897788325051,15.499720000000002,7,6249.0,26098.0,4164.0,10.66365239,40.78856617,15558.0,59.64804662,14144.0,62.13235294,15.46238688,30.13260174,6539.789375,48.92451299,7.807426948,20773.0,283,2750,22.68907563,187.0641428
299,565645.0,5923563,€,kebab,0.741897788325051,17.384629999999998,29,6249.0,26098.0,4164.0,10.66365239,40.78856617,15558.0,59.64804662,14144.0,62.13235294,15.46238688,30.13260174,6539.789375,48.92451299,7.807426948,20773.0,283,2750,22.68907563,187.0641428
472,571645.0,5934563,€,kebab,0.741897788325051,89.09139,7,3633.0,38549.0,5944.0,15.83439259,25.21466186,19325.0,50.1401069,22646.0,59.06561865,15.78203656,32.98824846,6536.393312,54.79051759,7.1665997,21685.0,300,2610,29.6781233,262.44519959999997
298,565645.0,5922563,€,kebab,0.741897788325051,15.594489999999999,5,1039.0,17104.0,2900.0,19.66206735,22.29887746,7256.0,42.46006203,9347.0,53.31122285,18.46581791,27.28852839,4997.044822999999,58.4120816,6.5442020670000005,25518.0,283,1768,36.40897756,315.0140318
488,571645.0,5941563,€,kebab,0.741897788325051,146.41862,9,3906.0,51858.0,7542.0,21.81148521,11.40421921,14564.0,28.10660594,29760.0,53.43413978,16.42473118,28.92798691,5151.867482,61.16343489999999,5.2806531560000005,30928.0,444,2818,42.23385689,399.0705388
290,564645.0,5940563,€,kebab,0.741897788325051,143.11065,5,,8459.0,1440.0,21.30275446,15.21456437,2242.0,26.529404800000002,4553.0,55.282231499999995,16.88996266,24.18725618,2122.3078969999997,55.53109521,5.0632911389999995,42631.0,529,3828,56.94117647,375.8127438
623,575645.0,5942563,€,kebab,0.741897788325051,286.24939,4,5976.0,90631.0,15645.0,22.67215412,12.51117167,28324.0,31.26579903,46401.0,46.10460981,20.45861081,26.96723902,3411.543072,58.15357766,5.108202443,33419.0,418,2670,41.36980909,397.46885719999995
287,564645.0,5937563,€,kebab,0.741897788325051,249.97413999999998,67,671.0,9584.0,1243.0,15.84933222,10.4236227,2068.0,21.6091954,6279.0,63.5132983,13.85570951,24.36781609,16947.699569999997,60.051399200000006,3.4980011419999997,52006.0,2152,5124,76.17554859,327.62938230000003
286,564645.0,5936563,€,kebab,0.741897788325051,92.8665,12,1494.0,17822.0,2791.0,20.41858377,12.78195489,4592.0,25.77169155,10812.0,59.572697,15.8527562,21.76196033,8691.435276,47.72247106,3.549395758,111088.0,3771,8101,82.17054264,384.8614072
285,564645.0,5935563,€,kebab,0.741897788325051,81.91234,23,1772.0,16456.0,2244.0,15.7936315,16.82061254,4882.0,29.67781155,10668.0,64.8856393,13.37645294,22.63489839,6016.138723,50.9962169,2.90037831,68191.0,3376,6178,82.05980066,328.8162372
337,566645.0,5933563,€,kebab,0.741897788325051,88.40583000000001,26,,2257.0,262.0,10.98803722,22.95081967,965.0,42.75587062,1463.0,61.51742994,12.78195489,26.20320856,1735.6902460000001,61.79458239,4.909706546000001,31336.0,.    ,4113,45.45454545,311.4754098
88,556645.0,5925563,€,kebab,0.741897788325051,395.16104,4,2011.0,28991.0,5584.0,20.81680522,15.80835432,12885.0,44.46783545,13506.0,38.94565378,23.25633052,25.46959567,1287.148774,55.54343677,7.0076893710000006,31101.0,266,1993,33.05322129,355.59311510000003
284,564645.0,5934563,€,kebab,0.741897788325051,200.46285,34,4893.0,12657.0,1440.0,14.26088331,21.39527534,4714.0,37.2471555,8743.0,69.43840787,11.40340844,29.08726179,5595.732556,58.35761865,5.85970025,34521.0,.    ,4265,46.564885499999995,250.2962787
338,566645.0,5934563,€,kebab,0.741897788325051,128.25883000000002,107,,,,,,,,,,,,,,,,,,,
175,560645.0,5935563,€,kebab,0.741897788325051,123.19588999999999,12,2901.0,31047.0,5102.0,12.83537862,24.25677199,11413.0,36.75447636,16486.0,59.26240446,17.09329128,24.34350603,2945.363973,54.56384991,6.356398187999999,33565.0,674,3739,41.55555556,283.31239730000004
174,560645.0,5934563,€,kebab,0.741897788325051,336.22896000000003,8,2798.0,35370.0,5567.0,13.44642352,13.05060786,9189.0,25.99507765,21458.0,60.9003635,17.3548327,27.52416756,12653.87744,57.4233605,4.447031432,40830.0,1483,5083,49.09443726,277.3536896
735,579645.0,5928563,€,kebab,0.741897788325051,69.96768,9,,39575.0,6212.0,23.85091598,12.14150347,15284.0,38.65452706,20782.0,48.27254355,18.36204408,28.95702306,3033.740493,60.61461398,5.017094697,29127.0,388,2412,41.41755063,367.6058118
400,568645.0,5941563,€,kebab,0.741897788325051,65.20756,4,1487.0,15794.0,2499.0,17.11409396,9.826516398999999,3436.0,21.75509687,9107.0,56.30833425,17.32733062,22.62357414,2205.6234289999998,60.55474185,4.165140974,39049.0,617,3554,46.02739726,350.6394833
393,568645.0,5934563,€,kebab,0.741897788325051,80.39345,6,771.0,7461.0,826.0,12.29057767,28.44122772,3266.0,43.81540113,4418.0,70.39384337,9.48392938,29.35560859,9078.245873,54.75330927,5.329207495,26217.0,618,3399,45.21276596,217.53116200000002
394,568645.0,5935563,€,kebab,0.741897788325051,9.89604,21,1858.0,21505.0,2481.0,15.90327831,14.55010463,6473.0,30.11818351,14252.0,66.31349986,11.27561044,25.82451773,12278.90259,66.05752324,4.703592062,32559.0,926,3884,43.52750809,295.140665
395,568645.0,5936563,€,kebab,0.741897788325051,241.24528999999998,13,,34792.0,3625.0,14.53782479,13.21280754,9200.0,26.45274447,23727.0,68.8371897,10.67138703,28.79146919,11253.086720000001,65.60934263,4.50932379,32679.0,808,4094,44.98861048,288.0834675
