,x,y,price_level,category,predicted_success,distance_to_water,restaurant_density,crime_count,population,share_under_18_years_old,share_65_year_olds_and_older,share_foreigners,population_with_migration_background,share_population_with_migration_background,households,share_one_person_households,share_households_with_children,share_households_with_single_parents,population_density,employment_quote_in_%,share_unemployed_people,sum_of_incomes_per_tax_reliable_person_in_EUR,prices_for_properties,prices_for_condominiums,share_students_in_Gymnasium,car_density
593,575645.0,5939563,€,italian,1.1977914927572482,35.570879999999995,3,5976.0,90631.0,17.3,22.67215412,12.51117167,28324.0,31.26579903,46401.0,46.10460981,20.45861081,26.96723902,3411.543072,58.15357766,5.108202443,33419.0,418,2670,41.36980909,397.46885719999995
51,553645.0,5936563,€,italian,1.1977914927572482,110.92771,3,,9430.0,19.6,20.93319194,13.48886532,2253.0,23.90197327,4642.0,46.03619129999999,22.79190004,22.02268431,1643.9501,50.80563948,4.800268546,43584.0,719,3165,58.43949045,393.5312831
463,571645.0,5937563,€,italian,1.1977914927572482,236.22286,3,4547.0,34469.0,12.1,19.09541907,15.90414575,11395.0,33.0750029,21220.0,61.20640905,12.71913289,26.56539459,5799.367421,63.36198034,4.996093589,28567.0,452,3413,43.90665514,331.3412051
362,567645.0,5939563,€,italian,1.1977914927572482,66.27405,3,4177.0,54826.0,12.5,14.70835005,12.09097873,12849.0,23.44750817,35273.0,65.20851643,13.06948658,23.64425163,7228.872484999999,62.43803073,3.5046384919999998,51627.0,2639,5020,59.21521998,321.2526903
695,579645.0,5927563,€,italian,1.1977914927572482,7.15013,3,,39575.0,15.7,23.85091598,12.14150347,15284.0,38.65452706,20782.0,48.27254355,18.36204408,28.95702306,3033.740493,60.61461398,5.017094697,29127.0,388,2412,41.41755063,367.6058118
