id,price,rating,review_count,is_closed,zip_code,epsg25832_latitude,epsg25832_longitude,epsg4326_latitude,epsg4326_longitude
Apz9UhdoIwKP4RGtjw7H6g,€€€,5.0,6,False,21037,580729.343238514,5917411.003914121,53.3996,10.2142
NH8UdkeMrq2YFSQLMSEruQ,€,5.0,5,False,21037,581072.098370624,5918640.868977711,53.4106,10.21967
OjgVmVhRkm62fiClP6A6uQ,€,3.5,7,False,21423,581382.6896765184,5912270.16995305,53.3533,10.2227
AwL7KooU6B09c4AlQ7eN5w,n/a,5.0,1,False,21423,581884.0342488986,5912137.463619678,53.35203,10.230196
dZt3zUy7O8x0yL09p9_jgA,€€,3.0,1,False,21423,580710.6487688177,5912719.781500175,53.3574436,10.2127204
GorMSUXMnwwfUMzbd1vGcQ,€€,3.0,15,False,21423,581439.5180649833,5912226.851885193,53.3529019586762,10.2235424311539
CP15eMmPVJUHL363eNV7Ag,€,3.5,8,False,21423,580710.6487688177,5912719.781500175,53.3574436,10.2127204
1VCV8T5KQWhG8-2_5oPu2w,€,5.0,5,False,21423,585765.9203583316,5914717.447761788,53.3746,10.2892
dzb7aCiy9JldM3zR2LzaJg,€€,4.5,2,False,21423,583875.630873943,5919257.133811694,53.4157,10.262
2_b0ipYNKYppOxzHpbyY2w,€€,2.0,1,False,21423,585560.3039892549,5919843.62262876,53.4207,10.2875
u3ub5f0MS4qY67Q8XF9ZoA,€€,5.0,3,False,,565706.3643236338,5934330.92733658,53.5537490844727,9.99182987213135
y0AMxH07q3UXg_E1NcCnZw,n/a,4.0,6,False,21423,587538.0213791607,5920736.578927931,53.4284,10.3175
jIsBpmSeu-Ryp1uEQaGBAA,€€,5.0,2,False,21039,585821.8747305265,5920816.469594748,53.4294,10.2917
C-T53fWPdrOQUxCIVD0glw,€€,4.0,11,False,21423,586166.8033052001,5920121.675269841,53.4231,10.2967
6xWAqTzNZwdDwwUWLVn4cA,€€,3.0,1,False,21423,587748.4520887571,5920377.97502,53.4251424741935,10.3205662965775
6VgfA1pTcDwlVbardrr5bA,€€,4.0,33,False,21435,574570.2722075678,5915059.202496274,53.37937,10.12103
kXREhFdeXd_aAUM3qG5tCg,€€,4.5,11,False,21435,573058.5519384196,5916318.637773223,53.3909,10.0986
-x9wVOTLdet2XG9N-GqYwg,€€€,4.5,7,False,21435,573360.0880948459,5915744.686662525,53.3857,10.103
z4IPVrXWPtDvurzgUQkI7g,€€€,3.5,3,False,21435,574196.9915666875,5915401.629776002,53.3825,10.1155
Tpegso_fkYOJpoHcB7a_dg,n/a,4.0,2,False,21435,574157.431807067,5915378.757672611,53.3823,10.1149
U4NQRAh7oTjsmkea1B8dCg,n/a,3.0,1,False,21435,573653.8848292038,5915673.706176374,53.3850212,10.1073999
2jzIbZsfzca5drJYk7JwbQ,€,4.0,2,False,,565749.3887300437,5934286.109809331,53.5533409118652,9.99246978759766
3eEB1Vmano1c96kZVeUsDA,€€,4.0,11,False,21423,577013.3312152106,5917412.65451741,53.40017,10.158323
G5Ex8n1SADY3Amfc73gNXw,n/a,4.0,1,False,21037,576375.7589070371,5919742.395273163,53.4212,10.1493
SFTJ6Rx4vb4LntnpTY9TGg,€€,3.0,16,False,21037,577688.8012456327,5917558.306807328,53.40138,10.168516
iCe90XaupBAUY0lCNsl5bw,n/a,1.5,2,False,21037,577361.4972527066,5917816.261908732,53.4037463,10.1636574
xt_Ga8o9W2rq2MnIp0iruQ,€,4.0,7,False,21037,577647.2014970833,5917556.513044997,53.40137,10.16789
utPCO_B6b1_pUaxtdGuIgg,€€,4.0,1,False,21423,577335.5739335173,5913783.756109992,53.36751,10.16228
BSBFGOqHzyTC5YmCr02AFA,€€€,3.5,112,False,21037,578816.0675105501,5917328.761392877,53.39915,10.1854099
5HkbIoJJCCS3bXGwx3liZQ,€€€,4.0,27,False,21423,577890.3852447551,5916799.395475942,53.39453,10.17136
9VjqNQNKa5oLscdA_MGuIw,n/a,4.0,1,False,21423,577986.1485598945,5916843.228398204,53.3949097892251,10.1728106433868
l-l9Wl8YVWSqY7gHyavUQg,n/a,4.5,4,False,21423,578179.5696568779,5916767.431002466,53.3942,10.1757
xqx-Sia1mQXYmXGW6FYCvg,€,3.5,15,False,21423,579515.2765575098,5913262.267276551,53.3625,10.1949
5F6SisQK8b14kzBENh1xaA,€,4.5,5,False,21037,578819.7421610983,5917868.497155479,53.404,10.1856
BTz2Hkdq7b_SPpdMX0oQeg,€€,1.5,5,False,21037,578684.5593802759,5917198.614666312,53.398,10.1834
M1lUgg7Yiy8bAoU0Rb_4IA,€,3.5,2,False,21037,578668.2921897591,5917205.80607419,53.3980670526425,10.1831571947782
iN-BjHDQcN-3CT2jVZkwfA,n/a,5.0,2,False,21423,578275.4128358086,5916602.101991878,53.3927,10.1771
TkiIZEZ3i-xhL8cqFBhxxw,n/a,4.0,1,False,21423,579409.5118121367,5913616.571072007,53.3657,10.1934
YS5tqCrZXirfweAOW0yoyA,€€,4.5,13,False,21423,580218.9360587164,5913493.460606347,53.3644714,10.2055302
zithk0a8dRP3JX2SzRy9mw,n/a,5.0,1,False,21423,580357.7529408083,5913415.422894448,53.363749,10.207596
ygfKK-23nd4K9BO3sULFng,€€,4.0,13,False,21423,580350.0105788606,5912353.856649256,53.35421,10.20721
Ar2bPokFSXwqFTiY9PBppw,€,4.5,5,False,21423,580331.4389488053,5913247.511555936,53.362244,10.207158
G5DtYjTrKtMavUCTVOtIYA,€€,4.5,2,False,21037,580322.0422843837,5918371.062883089,53.40829,10.20832
Fq9hUJwRAymWH49MT-JzqA,€€,5.0,2,False,21423,580402.4241255117,5913505.308685936,53.36455,10.20829
bInFKqtCvFaLxeApWf33OQ,€€,4.0,11,False,21423,580286.312669764,5913105.543005342,53.360975,10.206444
TTbVupUNoYBGos_qlyam5A,€€,4.5,2,False,21423,580423.4410862884,5913205.048353338,53.3618484,10.2085294
wW-6orI-wOFSMupJmoBIrg,n/a,4.5,2,False,21423,580446.2369611391,5913284.171313534,53.362556,10.208892
4XUC1FOx0LNS3CDSqh534w,€€,3.5,14,False,21423,580295.631760887,5912774.662718977,53.358,10.2065
x1hqRJ-4hpFAgn8WmliINw,€€,3.5,6,False,21423,580085.3289656615,5913522.19962984,53.3647499332915,10.2035301178694
ogs3ehIibnN3RCZJNNJzAQ,€€,4.0,4,False,21037,580307.1494269595,5918347.443117344,53.40808,10.20809
Gwcu770yDkxpIWGbd4zD3g,n/a,4.0,1,False,21423,580271.3510757987,5912872.172858324,53.35888,10.20616
KrWywjHn-FcwZ2CHH5RiNQ,€€,4.0,4,False,21423,580453.3406729139,5913289.187634235,53.3626,10.209
KpKqXirjKzUn2X23S3dIeA,€€€,4.0,1,False,21423,580139.55143997,5913227.134798934,53.36209,10.20427
0G3ZHPyf_juI-v-4pfgo_Q,€€,3.5,3,False,21423,580317.0583650488,5913476.04630438,53.3643,10.207
qS-npAjgCVAk6_aKcvoWsw,€€,4.0,3,False,21423,580351.3633628855,5913454.371754655,53.3641,10.2075099
fGEC5AVijmhEMT86yM_TYw,€€,4.0,4,False,21423,580321.3840305355,5913220.19087331,53.362,10.207
v_M4HtQVoL4SJiuzrKW31g,n/a,4.0,1,False,21423,580308.2633738312,5913208.84174223,53.3619,10.2068
yQTeZaHrucZRE-3pC4XpoA,€€,4.5,7,False,21423,580022.4088744355,5913582.346965741,53.3653,10.2026
PMxHu9ZO9qHXsZH6tl1kwQ,n/a,3.0,1,False,21423,580269.6981925961,5912437.646835484,53.3549752110993,10.2060249075294
Av2-ZBVVVD0rQRYbCAcktQ,€€,3.0,4,False,21423,580433.0461301929,5912051.919568002,53.3514839,10.2083805
DtRF2WlXK5QMxvjsiyBMGQ,n/a,3.0,1,False,21423,580146.494317716,5913328.510502828,53.363,10.2044
9yXQ-bebruqsap-j37aPxg,n/a,4.5,2,False,21423,580380.7085238813,5913254.576200936,53.3623,10.2079
IyV4XpLJcyjHqWnJG66_Dg,€€,3.0,1,False,21423,580425.217091175,5913377.730137141,53.3634,10.2086
N6xu8s8qhc2m3tD1KndCNQ,€€€,3.5,5,False,21423,580260.6648605479,5913118.560552832,53.3610958816157,10.2060619935695
4Fk1QDlkbhKCviXBuyBx1w,n/a,5.0,1,False,21423,580460.5134169566,5913600.177956113,53.3653937392952,10.2091868966818
JgF_InebJTFsmGKbHJ4jPA,n/a,5.0,1,False,21423,580341.1299729404,5912052.156414331,53.3515,10.207
2wUBmk7QQYzJB1f2uqR91w,€€,4.5,10,False,21423,580441.7273218725,5913188.844971515,53.3617,10.2088
ZdqdKR3tTm-Q8f7_Sx9e2A,n/a,5.0,1,False,21423,580096.0610518093,5913516.824331612,53.3647,10.20369
uOfYwKHQpG-tMT14XFS9YQ,€,2.0,4,False,21423,580267.9527065768,5912482.841450581,53.355381635463,10.2060101553798
KJJv7m_iV3NctiorCFcKDw,€€,4.5,19,False,21220,568360.4631219817,5913700.63425723,53.368,10.0274
uT9RGHTVWP8bfGQBb_iS-A,€€,4.5,10,False,21217,567881.7608052195,5919713.305904489,53.4221,10.0215
2U7By3s0y2xQhh-ruu1h2g,€,4.0,1,False,21220,568963.0017479872,5916499.144668073,53.393073,10.037065
JSPcrGVUT26N2bqIuvtAgA,€€,4.0,10,False,21220,569528.3494964119,5917111.243661613,53.3985,10.0457
wvRJ8mCla84xgmhUSDTCLQ,€€,5.0,8,False,21217,567203.9604392438,5919703.649161465,53.4221,10.0113
RpZVnL5yUtAT_ekn5Pl1Hw,€€,4.5,3,False,21217,568109.7717364879,5919571.928471265,53.4208,10.0249
v0MuvytyXWDq07H_FwFH3g,n/a,4.0,3,False,21217,567469.3529436514,5919736.348173731,53.42236,10.0153
b46QX6Nbw6Tqe1qMWGd7sg,€€,3.5,21,False,21217,567810.4516472657,5919122.568739633,53.4168,10.0203
VPnbRnsLFoVTLhjgMufPPg,€€,5.0,2,False,21220,568970.1243084933,5916626.871877167,53.39422,10.0372
wGI7bc8xPGfRyipbLUpuJQ,n/a,3.5,2,False,21220,568970.1217795071,5916626.893085823,53.3942201909401,10.0371999666095
lQIqGbPNK2jLB7Vq7NHdcQ,€€,3.5,2,False,21220,569430.5713432193,5916976.290609615,53.3973,10.0442
yjEueSbnyjuK2-HAZQ086g,n/a,5.0,1,False,21220,569151.8328300533,5916708.516158903,53.39493,10.03995
RGUXwvfaYmRFORYMnjC7TA,€€,4.0,4,False,21217,567554.4907770433,5918168.694803449,53.40826,10.016245
3a0yvBPCr-6AA46liTbHrA,€€,4.0,21,False,21220,568831.3363867211,5914731.089650545,53.3772,10.0347
cN8AZ0WIpZPqf-Gp_ktrHA,€€,4.0,9,False,21217,567850.6641767677,5919482.337059123,53.4200282,10.0209824
k-yuRshvkiuH_YKsfCADqw,n/a,4.0,1,False,21220,568493.7759803736,5915715.371430817,53.38609,10.02984
y6YdR41FdfoQpQ9F55ALVw,€,4.5,3,False,21220,568948.5849093702,5915408.18207806,53.38327,10.03661
CW8OV3BVxikixMJrqVS7YQ,€€,4.0,1,False,21217,568439.5628406876,5919793.649709913,53.42275,10.0299099
mENn7IU3YB42_13jVDbJow,€,4.5,17,False,21220,568806.2400685512,5914764.1060347585,53.3775,10.03433
UE-1d29OEoGaBKgyZfmsnQ,€€,3.5,20,False,21217,567834.4729191825,5919859.501967787,53.42342,10.02082
1YPoKTBjDprApFZ7ve7AnA,€,4.0,1,False,21217,568077.5355910704,5919733.915982345,53.42226,10.02445
VqKI2tR7tNUCzDPEZkDl6A,€,4.0,1,False,21220,568290.9216971,5916175.319238146,53.39025,10.02689
zZAiLx6p1vM4UkE40o3VIg,n/a,1.0,1,False,21217,567957.5676608615,5919525.237378106,53.4204,10.0226
JDkH_lSN7mAUOeFJ7et6ow,€€,4.0,12,False,21217,570524.3316138375,5920895.802770469,53.4323807,10.0615234
UFgYw6g6sRPsT7CP9nsO0w,€,3.5,10,False,21217,570524.3316138375,5920895.802770469,53.4323807,10.0615234
6njTD0ZBG9O-y1O2jm7Ddg,n/a,5.0,1,False,21224,558358.3270548783,5917394.637705665,53.4024,9.87778
EEKdJbl4YyUORyUArak_XQ,€,4.5,2,False,21224,558857.945598511,5918124.016992396,53.4089,9.88543
ELshs9ioj0Uzv9_AXAGdaw,n/a,4.5,4,False,21224,556943.2853376367,5917900.373323766,53.4071,9.85659
fOHSKKnIxqduCxecsZJC_w,n/a,5.0,2,False,21244,558184.9455910983,5913364.825446775,53.3662,9.87443
wpGydxJrBuTsmNYuSBD8Mw,n/a,5.0,1,False,21224,559183.541085689,5917924.457412748,53.40707,9.89029
R-qkNDj-JJ56P8cB95hxqQ,€,3.0,3,False,21244,558157.4013912053,5913434.916758269,53.366833,9.874029
TI2orC_tUrfypZpFjXbLOg,n/a,3.0,2,False,21224,559346.1162326329,5917896.447616997,53.4068,9.89273
hupBDwEm2VXHR3CU8oh_WA,€€,3.0,12,False,21244,558075.4465722161,5913067.529906075,53.36354,9.87273
oXxMdWPxtjqXdlHMM145lA,€,3.5,9,False,21224,559501.4874983033,5914783.038039782,53.3788,9.89448
VbfhaETEByAuRuq5Lr37Jg,n/a,3.0,4,False,21224,559587.2596657571,5914893.139727266,53.3797799,9.89579
QyjsnQNKCaswI-0sCobI6Q,n/a,2.5,9,False,21224,559654.216057829,5919777.322701381,53.42367,9.89772
YLoGj1U0_jJy1Hf3nx-FaQ,€,4.5,13,False,21224,560261.1058887765,5920850.537983131,53.4332467,9.907057
e-iWta6fZSAxxqOpPy0ZrQ,€,3.5,10,False,21224,561775.5240902011,5913399.033437455,53.3661,9.92839
MC0hhfCNSBo7BrJjDR8BNw,€€,4.5,17,False,21077,562152.4933436316,5921092.299917175,53.4352,9.93557
Tl_AKFJyIG7z7wmPBZ2gHQ,n/a,4.5,2,False,21218,563707.4027981983,5919648.585641816,53.422039,9.9586802
YFPL5w5keAybWu4vdyVvNg,€€,3.5,3,False,21218,563404.4610804188,5917872.729950712,53.4061149,9.953765
yWMgcEEYVr4CGQF3Wb0l-Q,€€,3.5,7,False,21224,562667.6623792779,5913421.844820855,53.3662,9.9418
BrGgp-LimE5DBPaMSG8CSQ,€€,4.0,27,False,21218,565338.5083154344,5915552.395729595,53.385025,9.982373
E3TH-n5p92IcGCmA56FO_w,€€,4.0,4,False,21218,564945.3149643664,5915638.794062417,53.38585,9.97648
RdTUH49yyWvn0VfpeF6EFg,€€,4.5,8,False,21218,565446.4966133432,5915183.925874059,53.3817,9.98392
BHNcHdohBm-CXaLPbm7xOg,n/a,5.0,1,False,21218,565100.7809464657,5915846.764301461,53.3877,9.97886
v4YTTPwAFACR5CSGiYGN0w,€€,5.0,7,False,21218,565448.7024166267,5915167.244225836,53.3815498,9.9839497
fW460rrxThrFlHGThSx_Dg,€€€,3.0,52,False,21218,565402.2905318219,5915688.461485753,53.38624,9.98336
GHoTbTE7KLHhAa5uiWmYow,€€,4.5,19,False,21218,565369.3163047257,5915788.479956112,53.387143,9.982885
FYX0aKiLRAtvA66MndlPVw,€€,3.5,14,False,21077,565312.9752573115,5920770.966769222,53.43193,9.98307
JYvmyWarOyFnifcMFK4ZXw,€€,4.0,14,False,21218,565237.3292209501,5915349.057732171,53.38321,9.98081
SHKM2iuxD_4A81opu08ieg,€€,4.5,5,False,21218,565185.9312523787,5914305.719368674,53.3738393,9.9798221
CqAsA5szZG0hPwNOEsocfw,€,3.0,2,False,21218,565282.5027628615,5915498.774198878,53.38455,9.98152
J8B4htIIMhFbWnzz1MynwA,n/a,4.5,2,False,21218,565040.0230100879,5915280.704146235,53.38262,9.97783
MyFNVSZYDGoCpPWFyaxKXg,n/a,2.0,1,False,21218,565372.2201899372,5916577.280959232,53.394232,9.983092
YQBtXX3wwLm_nNjpF0Fu2A,€€,3.5,9,False,21218,565479.1928177375,5915562.679033143,53.3851,9.98449
sJordO9bdzZQtldyxgSIig,€€,3.0,9,False,21218,565103.7088752008,5915702.14847003,53.3863999,9.9788742
0iI4ba-9QJiZFWenxmenzQ,€,3.5,5,False,21218,565286.5545433825,5915494.3793057045,53.38451,9.98158
B1hR8uGN6_TuZbu0U7KicA,€€,4.0,11,False,21218,565347.4571502565,5915661.002641186,53.386,9.98253
OHXNXNW-Io_s9atVpWwyRg,n/a,3.0,14,False,21077,565217.9471578045,5919694.382327268,53.422266,9.981417
HHo7REfDa2YRSQSHH_TqiQ,€€€€,3.0,12,False,21077,565235.3592850126,5919602.705031757,53.4214399,9.98166
