id,price,rating,review_cou,is_closed,zip_code,epsg25832_,epsg2583_1,epsg4326_l,epsg4326_1,Bezirk_Nam,Stadtteil,water_distance
Apz9UhdoIwKP4RGtjw7H6g,€€€,5.0,6,False,21037.0,580729.34324,5917411.0039099995,53.3996,10.2142,Bergedorf,Kirchwerder,17.660164238107914
NH8UdkeMrq2YFSQLMSEruQ,€,5.0,5,False,21037.0,581072.09837,5918640.868980001,53.4106,10.219669999999999,Bergedorf,Kirchwerder,21.257635928861795
u3ub5f0MS4qY67Q8XF9ZoA,€€,5.0,3,False,,565706.3643199999,5934330.92734,53.55375,9.99183,Hamburg-Mitte,Neustadt,66.87606589219038
jIsBpmSeu-Ryp1uEQaGBAA,€€,5.0,2,False,21039.0,585821.87473,5920816.46959,53.4294,10.2917,Bergedorf,Altengamme,33.80762417523816
2jzIbZsfzca5drJYk7JwbQ,€,4.0,2,False,,565749.38873,5934286.10981,53.553340000000006,9.992469999999999,Hamburg-Mitte,Neustadt,56.57910060134402
G5Ex8n1SADY3Amfc73gNXw,,4.0,1,False,21037.0,576375.7589100001,5919742.395269999,53.4212,10.1493,Bergedorf,Kirchwerder,41.97506879356731
SFTJ6Rx4vb4LntnpTY9TGg,€€,3.0,16,False,21037.0,577688.80125,5917558.30681,53.40138,10.16852,Bergedorf,Kirchwerder,37.60596948034716
iCe90XaupBAUY0lCNsl5bw,,1.5,2,False,21037.0,577361.49725,5917816.26191,53.40375,10.16366,Bergedorf,Kirchwerder,9.456331407575409
xt_Ga8o9W2rq2MnIp0iruQ,€,4.0,7,False,21037.0,577647.2015,5917556.513040001,53.40136999999999,10.16789,Bergedorf,Kirchwerder,32.43070557067777
BSBFGOqHzyTC5YmCr02AFA,€€€,3.5,112,False,21037.0,578816.0675100001,5917328.761390001,53.39915,10.185410000000001,Bergedorf,Kirchwerder,16.375893325674625
5F6SisQK8b14kzBENh1xaA,€,4.5,5,False,21037.0,578819.74216,5917868.49716,53.404,10.1856,Bergedorf,Kirchwerder,7.025669424966072
BTz2Hkdq7b_SPpdMX0oQeg,€€,1.5,5,False,21037.0,578684.55938,5917198.61467,53.398,10.1834,Bergedorf,Kirchwerder,13.737353942189246
M1lUgg7Yiy8bAoU0Rb_4IA,€,3.5,2,False,21037.0,578668.29219,5917205.80607,53.39807,10.18316,Bergedorf,Kirchwerder,20.906649665713864
G5DtYjTrKtMavUCTVOtIYA,€€,4.5,2,False,21037.0,580322.04228,5918371.06288,53.40829,10.20832,Bergedorf,Kirchwerder,21.74024176947497
ogs3ehIibnN3RCZJNNJzAQ,€€,4.0,4,False,21037.0,580307.14943,5918347.44312,53.408080000000005,10.208089999999999,Bergedorf,Kirchwerder,28.13935438027275
MC0hhfCNSBo7BrJjDR8BNw,€€,4.5,17,False,21077.0,562152.4933399999,5921092.29992,53.4352,9.93557,Harburg,Marmstorf,30.236262708796858
FYX0aKiLRAtvA66MndlPVw,€€,3.5,14,False,21077.0,565312.9752600001,5920770.96677,53.43193,9.98307,Harburg,Langenbek,48.41266906804132
OHXNXNW-Io_s9atVpWwyRg,,3.0,14,False,21077.0,565217.94716,5919694.38233,53.42227,9.98142,Harburg,Sinstorf,22.539552705086276
HHo7REfDa2YRSQSHH_TqiQ,€€€€,3.0,12,False,21077.0,565235.3592899999,5919602.705030001,53.421440000000004,9.98166,Harburg,Sinstorf,16.134532978103895
LKzo9giIoKGVtMsuAvuIAg,,4.5,3,False,21039.0,581883.87345,5922182.24966,53.4423,10.2328,Bergedorf,Neuengamme,4.769249160328486
p6NLrDG7PeH60IUcmTwPAA,€€,5.0,1,False,21039.0,581123.33703,5922870.19936,53.4486,10.22153,Bergedorf,Curslack,24.097270689175847
HVhu33lr5QK50I8F2s9Wlw,,4.5,2,False,21037.0,573166.89887,5921794.796490001,53.4401,10.1015,Bergedorf,Ochsenwerder,44.385909747077186
ZvCXfKNbGRtyPno_XwkGgg,€€,4.0,12,False,21079.0,566715.3098800001,5921365.75127,53.4371,10.0043,Harburg,Rönneburg,34.45959474250235
ctYfzIX3CgxF0SyGmLSsDw,,5.0,2,False,21079.0,565992.29447,5921805.14383,53.441140000000004,9.99351,Harburg,Wilstorf,11.964108589105965
a7H6qeYZwANboH-6prvHng,€€,4.5,64,False,21073.0,565227.63705,5923107.49894,53.452940000000005,9.98227,Harburg,Harburg,267.98575561823185
TNSx-9txYa456CBRaICskw,€,4.0,16,False,21079.0,566114.6603,5922081.67909,53.44361,9.995410000000001,Harburg,Wilstorf,16.078900348182085
hb3VLlzB9mVg-KSlkf7htQ,€€€,4.0,55,False,21077.0,565151.25902,5922866.11173,53.45078,9.981069999999999,Harburg,Wilstorf,63.48563620937666
y4Qj23Rm3I3S6_Mumc_sgg,€€,3.0,2,False,21077.0,565331.14236,5922681.66187,53.4491,9.98374,Harburg,Wilstorf,41.356235804661104
fn9G7u7Ok4u5aLwtY3Ok4Q,€,4.5,5,False,21079.0,566347.10044,5922133.8864,53.44405,9.99892,Harburg,Wilstorf,103.63077445610939
XpcjjoBY2o47QXsa_KatYA,€€,3.5,10,False,21077.0,565174.48197,5922570.02835,53.448119999999996,9.98136,Harburg,Wilstorf,10.20912242869288
afQhj6UkcZ3z49pd-tdKzg,€€,3.5,14,False,21073.0,565556.90649,5922782.68506,53.449980000000004,9.987160000000001,Harburg,Wilstorf,36.982431006877384
94Zk6MIaVfxFKUcaFvy-NQ,€€,4.0,9,False,21079.0,565653.13676,5922836.32459,53.45045,9.98862,Harburg,Wilstorf,16.24634173012327
