"Statistische Daten zu den Stadtteilen Hamburgs, © Statistikamt Nord ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stadtgebiet","Bevölkerung und Haushalte 31.12.2016","","","","","","","","","","","","","","","","","","","","","Bevölkerungsbewegung 2016","","","","","Sozialstruktur","","","","","","","","","","","","","","","Wohnen","","","","","","","","","","","","","","Infrastruktur und Verkehr","","","","","","","","","",""
"","Bevölkerung","Unter 18-Jährige","Anteil der unter 18-Jährigen in %"," 65-Jährige und Ältere","Anteil der 65-Jährigen und Älteren in %","Ausländerinnen und Ausländer","Ausländeranteil in %","Bevölkerung mit Migrations-hintergrund","Anteil der Bevölkerung mit Migrations-hintergrund in %","Unter 18-Jährige mit Migrations-hintergrund","Anteil der unter 18-Jährigen mit Migrations-hintergrund in %","Haushalte","Personen je Haushalt","Einpersonen-haushalte","Anteil der Einpersonen-haushalte in %","Haushalte mit Kindern","Anteil der Haushalte mit Kindern in %","Alleinerziehende","Anteil der Haushalte von Alleinerziehenden in %","Fläche in km²","Bevölkerungs-dichte","Geburten","Sterbefälle","Zuzüge","Fortzüge","Wanderungssaldo","Sozial-versicherungs-pflichtig Beschäftigte (Dez 2016)","Beschäftigten-quote in % (Dez 2016)","Arbeitslose (Dez 2016)","Arbeitslosenanteil in % (Dez 2016)","Jüngere Arbeitslose (Dez 2016)","Arbeitslosenanteil Jüngerer in % (Dez 2016)","Ältere Arbeitslose (Dez 2016)","Arbeitslosenanteil Älterer in % (Dez 2016)","Leistungs-empfänger/-innen nach SGB II (Dez 2016)","Anteil der Leistungs-empfänger/-innen nach SGB II in % (Dez 2016)","Unter 15-Jährige in Mindestsicherung (Dez 2016)","Anteil der unter 15-Jährigen in Mindestsicherung in % (Dez 2016)","Bedarfs-gemeinschaften nach SGB II (Dez 2016)","Lohn- und Einkommen-steuerpflichtige (2013)","Gesamtbetrag der Einkünfte je Steuerpflichtigen in EUR (2013)","Wohngebäude (2016)","Wohnungen (2016)","Bezugsfertige Wohnungen (2016)","Wohnungen in Ein- und Zweifamilien-häusern (2016)","Anteil der Wohnungen in Ein- und Zweifamilien-häusern in % (2016)","Wohnungsgröße in m² (2016)","Wohnfläche je Einwohner/-in in m² (2016)","Sozialwohnungen (Jan 2017)","Sozialwohnungs-anteil in % (Jan 2017)","Sozialwohnungen mit Bindungsauslauf bis 2022","Sozialwohnungen mit Bindungsauslauf bis 2022 in %","Preise für Grundstücke in EUR/m² (Jan 2017)","Preise für Ein- bzw Zwei-familienhäuser in EUR/m² (Jan 2017)","Preise für Eigentums-wohnungen in EUR/m² (Jan 2017)","Kindergärten und Vorschulklassen (März 2017)","Grundschulen (2016/2017)","Schülerinnen und Schüler der Sekundarstufe I (2016/2017)","Anteil der Schülerinnen und Schüler in Stadtteilschulen in % (2016/2017)","Anteil der Schülerinnen und Schüler in Gymnasien in % (2016/2017)","Niedergelassene Ärzte (Jan 2017)","Allgemeinärzte (Jan 2017)","Zahnärzte (Dez 2016)","Apotheken (Dez 2016)","Private PKW (Jan 2017)","PKW-Dichte (Jan 2017)"
"Billstedt","70234.0","13539.0","19.2769883532","12665.0","18.0325768146","17382.0","24.7486972122","39605.0","56.4021133881","10128.0","74.8226950355","34807.0","2.01459476542","15978.0","45.9045594277","7854.0","22.5644266958","2437.0","31.0287751464","16.9238394039","4150.00392782","773.0","628.0","5586.0","5637.0","-51.0","24219.0","52.2310164118","4046.0","8.72565722789","340.0","4.03992395437","648.0","7.35778358124","15373.0","21.8882592477","4530.0","40.4464285714","7154.0","29100.0","23247.0","7940.0","31588.0","81.0","6243.0","19.7638343675","72.2823224009","32.5092405388","7606.0","24.0787640876","2555.0","33.5919011307","319.0","2633.0","2399.0","25.0","8.0","4618.0","67.6916414032","28.5188393244","98.0","47.0","40.0","10.0","21806.0","310.476407438"
"Billbrook","2198.0","649.0","29.5268425842","118.0","5.36851683348","1739.0","79.1173794359","1870.0","84.8842487517","638.0","98.0030721966","723.0","1.88520055325","474.0","65.5601659751","125.0","17.2890733057","32.0","25.6","6.288611786","349.520701038","47.0","10.0","879.0","832.0","47.0","449.0","29.4812869337","158.0","10.3742613263","17.0","4.68319559229","28.0","15.6424581006","882.0","40.127388535","293.0","52.6032315978","339.0","403.0","22625.0","83.0","284.0","0.0","72.0","25.3521126761","65.8450704225","8.50773430391","0.0","0.0","0.0","0.0","203.0",".    ",".    ","1.0","1.0","202.0","78.2178217822","14.8514851485","0.0","0.0","0.0","0.0","307.0","139.672429481"
"Rothenburgsort","9137.0","1566.0","17.139104739","1343.0","14.6984787129","2499.0","27.3503338076","4953.0","54.2081646055","1216.0","77.6005105297","5190.0","1.76107899807","3083.0","59.4026974952","892.0","17.1868978805","288.0","32.2869955157","7.1908586958","1270.64101612","123.0","98.0","1107.0","1103.0","4.0","3526.0","54.8622996733","592.0","9.21114050101","33.0","3.40206185567","87.0","8.39768339768","1894.0","20.7289044544","547.0","40.0146305779","940.0","4024.0","20473.0","519.0","4557.0","33.0","136.0","2.98441957428","60.4584156243","30.1531137135","928.0","20.3642747422","142.0","15.3017241379","250.0",".    ","3171.0","4.0","1.0","435.0","69.8850574713","22.9885057471","5.0","5.0","5.0","2.0","2408.0","263.543832768"
"Veddel","4632.0","925.0","19.969775475","388.0","8.37651122625","2038.0","43.9982728843","3314.0","71.5766738661","861.0","93.0810810811","2496.0","1.8766025641","1442.0","57.7724358974","504.0","20.1923076923","132.0","26.1904761905","4.3712061615","1059.6617567","63.0","22.0","534.0","628.0","-94.0","1717.0","49.5526695527","370.0","10.6782106782","21.0","2.88065843621","41.0","11.7816091954","1155.0","24.9352331606","342.0","43.9024390244","529.0","1911.0","15831.0","210.0","2040.0","0.0","14.0","0.686274509804","60.9637254902","26.8493091537","413.0","20.2450980392","98.0","23.7288135593","196.0",".    ",".    ","2.0","1.0","330.0","78.7878787879","18.7878787879","2.0","2.0","3.0","0.0","807.0","174.222797927"
"Wilhelmsburg","55074.0","11528.0","20.9318371645","7342.0","13.3311544467","18701.0","33.95613175","33262.0","60.3885257807","9098.0","78.893513701","25984.0","2.04656711823","12638.0","48.6376231527","6064.0","23.3374384236","1602.0","26.4182058047","35.3867227706","1556.34643979","755.0","380.0","6458.0","6579.0","-121.0","19299.0","50.5924605463","3583.0","9.39285901536","247.0","3.23679727428","431.0","8.44270323213","12406.0","22.5260558521","3787.0","39.5055288963","5589.0","21384.0","21890.0","4637.0","22573.0","52.0","3161.0","14.0034554556","69.6275196031","28.5380034136","5392.0","23.8869445798","704.0","13.056379822","184.0","2378.0","2593.0","25.0","6.0","3643.0","71.1776008784","22.042272852","73.0","39.0","21.0","10.0","13527.0","245.61499074"
"Kleiner Grasbrook und Steinwerder","1256.0","65.0","5.17515923567","67.0","5.33439490446","504.0","40.127388535","650.0","51.9169329073","57.0","87.6923076923","1006.0","1.28230616302","799.0","79.4234592445","39.0","3.87673956262","16.0","41.0256410256","11.900176586","105.544652293","6.0","1.0","379.0","530.0","-151.0","531.0","46.7841409692","100.0","8.81057268722","6.0","2.06896551724","16.0","14.4144144144","190.0","15.127388535","34.0","62.962962963","136.0","588.0","13777.0","70.0","735.0","0.0","2.0","0.272108843537","50.5891156463","29.6042993631","0.0","0.0","0.0","0.0",".    ",".    ",".    ","0.0","0.0","21.0","71.4285714286","28.5714285714","0.0","0.0","0.0","0.0","117.0","93.152866242"
"Waltershof und Finkenwerder","11729.0","1899.0","16.1906385881","2294.0","19.5583596215","1861.0","15.8666552988","3308.0","28.2252559727","836.0","43.9306358382","6280.0","1.88121019108","3150.0","50.1592356688","1180.0","18.7898089172","334.0","28.3050847458","29.4205098862","398.667461759","122.0","133.0","844.0","813.0","31.0","4814.0","60.9367088608","441.0","5.58227848101","33.0","2.46821241586","95.0","5.9861373661","1110.0","9.46372239748","285.0","18.5667752443","603.0","5919.0","31649.0","2298.0","5775.0","3.0","1913.0","33.1255411255","75.4976623377","37.1727342484","747.0","12.9350649351","172.0","23.0254350736","271.0","2139.0",".    ","5.0","2.0","610.0","55.0819672131","42.9508196721","7.0","5.0","7.0","3.0","4309.0","367.379998295"
"Altona-Altstadt","29034.0","4396.0","15.1408693256","3752.0","12.9227801887","5705.0","19.649376593","10960.0","37.7579494953","2327.0","52.9344858963","17741.0","1.65548728933","11110.0","62.6233019559","2896.0","16.3237697988","904.0","31.2154696133","2.71787269504","10682.619555","315.0","228.0","3410.0","3222.0","188.0","12021.0","55.9558720849","1575.0","7.33137829912","101.0","3.97637795276","279.0","9.53520164046","3761.0","12.9537783289","815.0","21.453013951","2307.0","14861.0","30833.0","1598.0","16091.0","100.0","185.0","1.14971101858","63.3662295693","35.1183440105","2336.0","14.5174321049","529.0","22.6455479452","1349.0",".    ","5745.0","27.0","3.0","1227.0","56.4792176039","40.423797881","187.0","49.0","43.0","9.0","6741.0","232.176069436"
"Sternschanze","8043.0","1158.0","14.397612831","816.0","10.1454681089","1622.0","20.1666045008","2926.0","36.3749378419","589.0","50.8196721311","5212.0","1.56101304682","3509.0","67.3254029163","765.0","14.6776669225","250.0","32.6797385621","0.5484489044","14664.9941963","132.0","111.0","1280.0","1179.0","101.0","3363.0","53.9980732177","393.0","6.31021194605","17.0","2.30352303523","67.0","11.0927152318","946.0","11.7617804302","225.0","22.5225225225","544.0","4147.0","31125.0","497.0","4264.0","0.0","80.0","1.87617260788","68.1730769231","36.1419868208","456.0","10.6941838649","77.0","16.8859649123","1202.0",".    ",".    ","4.0","1.0","293.0","53.9249146758","40.9556313993","42.0","8.0","6.0","4.0","1509.0","187.616560985"
"Altona-Nord","22137.0","3482.0","15.7293219497","2239.0","10.1142882956","4168.0","18.8282061707","7959.0","35.969629864","1800.0","51.724137931","13596.0","1.63901147396","8624.0","63.430420712","2212.0","16.2694910268","605.0","27.3508137432","2.21781677274","9981.43772384","309.0","127.0","2873.0","2692.0","181.0","9610.0","56.9988137604","1207.0","7.15895610913","66.0","3.29341317365","203.0","9.16064981949","2721.0","12.2916384334","623.0","20.5069124424","1620.0","11541.0","29901.0","1149.0","11850.0","114.0","123.0","1.03797468354","63.6040506329","34.0474319013","1448.0","12.2194092827","386.0","26.6574585635","1055.0",".    ","5745.0","14.0","2.0","886.0","57.6749435666","38.1489841986","32.0","6.0","6.0","5.0","5220.0","235.804309527"
