,distance
Xw8JuSvkCJXP_veYJWafvw,64.1155620796776
kVRS_McR3zw0Ql4wcQIqfQ,92.90214273913745
AU5b-bvmRWAoP2A9-EvGbQ,54.74659900698059
D0nfIlvK_wTibaSS9LyoqQ,75.01597610803923
CbUiL17tlxO2GqF6ckuBfQ,29.645136178916182
fr2Cwrn5sR1id2P9eU2pIA,32.71503031611209
KNgLSOq74uet45R_GgMOfA,81.12892103908705
fAg5Pzglm70q2pjFl941ow,197.6742224341919
DjrUqDZfLxqlLjWNhp9_Tw,141.13960549103896
JLME-JhmhywsfAjxdGukJg,157.78957156679343
1PycgNQ8LeD0tigqdTM5Zw,20.46863329677407
ar8n2pUvaFSD7k6hK1IQHA,50.09223485318321
0eRwKOR0cRr25xWKQkaUxg,305.10959286087234
E9dmhyidDuuUTPMBYS4cVw,28.316808564386992
EiRV0a-OAkBMUonaYf-jXw,25.08806731876569
QT6cMEwYzsTEFaQ2Iob6-g,4.602828342195494
gAGnFIZbHDSlzsH2ATizNg,218.13098199686732
KQ8Wlwj0F4nDhtiuS7dCAg,99.93800879055917
8hwCKvb8ks_FBjP4ujY1Hw,89.54037932966591
jRwG8fGkXFkRpsRnnFuyIg,90.40454576339769
OiRjhR0XPYINaGdKY6pSAw,280.73666115183335
G4zsU0sJR31QUzYWd8wrlw,31.497455738126572
MAMwjqbBtwhc5hEvn8-2TQ,40.751194830005424
KNricMRGqktNGZWp-aoyEg,71.62106178136045
X8SOo9tuM7pzU78H8rx0Zw,81.92071542448683
xQ9mWuzzbzULyF597RInPg,23.220584782230492
JC6gdUGy79FIUd6T24wUIQ,12.62307351886946
NSAJr-jy7QCoGSvvsuA3Bw,109.664086095094
aV6FjXhMxupF7l26q1mcaw,58.53262352601851
i54hs9R9ZDMYQb8CkXd33g,52.49228179887049
SVQN8XTfkjCVD3U18EslLQ,57.792025756444076
B89ymG_m9xwOuQ0CWh5obg,34.984117730625506
4b6hJXdu-YanZmA93i45Gw,82.04983921080688
4-kUVcQhE_ErgwIPGhanqg,133.41358664306935
NlpB1dQu2XiRQSeTV733dw,67.63330898391003
SAOF8FII-H4PfIV5J9-p5A,54.81507869920856
DIVGBv1Wi_VHjH7QEY76NA,98.87625293683388
_7drLx2S3W9MRaSGq7I5og,43.59051626647217
ytna7AExPNRhMVE0JWb2lg,145.9449049052875
lsvCI5YWm-9xAJ2Mujc9oA,59.36942641585853
k9ItjxDeGs52UDh4EjcfRQ,274.32525310188186
iJdyFvgYnEFInkfDkCjiQQ,211.30669466429475
KaMlL3EyCdcSzkDAfVIt-g,95.96204534070812
ng4easez7Xfrmr0yqYzbJg,304.3015080346471
mf57nmVCUd0KL3CdqSIphQ,35.76433103360725
p154M1TKs2ILBPVdSX9CbA,2.3779273440306645
_BNYVKl7NdOIzbpEfeFD0Q,56.19602010189473
kUPu-a5NGKnDVWa4gjoKmQ,285.316467966925
VmKHDB9yn_W5vXAI13Ojkw,23.66736716664694
kfGyGne8Qn3mxvhXHzMIyQ,91.91201278302076
RUvELTNuACC7Q89V3-0QbQ,136.49210915147296
agbaBEb4rmoaZ3h09UTdIg,75.35031475326055
ZaXibVd2g4B38GUxI22v4Q,60.249053722348506
gmU8_qjS5m4hKHl3g2M7wA,34.72711736069204
OjiJ_8pv3PQJbH1Rbxd6Vw,65.47909509575308
Y3Bsu-Fkjhsw8VEaYylimw,94.29397542271464
obRhSBOl1pAwV8Jz-02KFQ,26.13754917346848
WD4KmmTtqnOn8kJMC4er1w,55.69804551200456
JqMC608vO708M-83lqNlWA,17.61015396735839
TP2FO0XHHYiSkc9n11_whA,367.68539968024754
w15gfISowfag6zXhxzzixw,367.15575739950737
aOVr_1InH-itw8xNtb2htw,322.6803540785767
xWPaFWRxkCkBE2Ht-ggMkg,245.1235925877206
2JZ__YSSPGnO8hLmwjAXVQ,295.4789615436663
SQ-SJMjgBl45p31AbZtPYg,262.57316230663014
jJck6CD-Z9C-L69HVNI_Jw,326.9699044382223
HGZAdxmEZja3-J06xwYzwQ,192.1837997795682
P84L8e-FePm3E_QI9T-pSg,318.50434236105093
n_Yio-a9VzssOtDbgezpRA,105.66916468504186
APvIA_7ssxgC0atmQEFMcg,12.396766027174861
cGIKCcR0wZszz8VldC2-7g,1.7527887193265694
SeodQIjOcsrznD7rwIB-Jw,33.76426968311695
z111X_0D0eONCDL2EtSAaA,57.01166590337379
dyIcQ0Aavrhchxq9ckJHQQ,24.487459596510337
TT2qrIUU5O4RVRyMdcPMTQ,71.19129837485303
uHc4UEeB61WcdGsIXtxz1A,187.7585496791801
iDbFa_QS9dWsxaVWCZjy8Q,82.17155153118395
uwN7W2qQoeTgwR2RtbzE3Q,65.13291588796473
Lz0Ub6tuzImPgQJZCLv8qA,15.747179603110306
wEtVg37Ypxat_mW1ZrRuWg,18.797624848060266
eB5ZgXwqX4OjH3PjvcVqqw,51.86552209746796
Zv1LeZIpUf-fgVDZnfsTyg,95.63688499389951
GK_fTWOJbRbQO30X1t58-A,21.197460365860245
8RTFCEVFVel7jHWdyzyS7g,108.02246007605316
zSJs6UlQpjoeyYtP0KmIXw,107.19604027586689
Zz4ls--O20WxfSrE-Mardg,91.54856308886815
VYiOF0mjK_FuOVMWxSs-Ag,62.60446211200658
