,no,distance
58pHfuFG7hV9UDyE0qj1GQ,1495,61.54439443166432
0hGLR99D0tWjrHttfuO4uw,1496,232.59731416833523
nMxvQC4fI6AhRbzkpB_6dA,1497,163.59087672297233
4lnupwSElthxWF9c_E3Pew,1498,28.21356342387344
VjaAFfZMlG0OBdOV6WkmLg,1499,140.65448482789068
hXLP240NBom5GL8x--OYIQ,1500,207.58534284679496
53sZ-2DGfjUA6Ut5jI_-AQ,1501,209.55319317491842
MXyiqM3WDeFZAbrjjOl6nQ,1502,181.4129711581417
RolSv0x82ykzv-dGcATflw,1503,137.19964080867922
gibMvLTWzEh_oKRrEDiLdw,1504,113.69648036267506
XXRAY8kkP_Km-OvF0xrlCQ,1505,132.3146866075192
Fl2yMKBdvIavxSPiy7aAmw,1506,96.94751755948057
IthBpCHRXgUUi0kD1UuDyg,1507,267.4209998569842
RqfnGgz9mmNI73ZDzuDu1g,1508,153.61123641202954
mnVm0aU2rZLP5ijZZBK2tA,1509,511.63825837587336
IwDEAkf2cm8g5fejJsflxg,1510,67.76192180984894
DKwFP-UJOb3EvCbj_Snufw,1511,16.259794434737
lob5u3JLGcRmRrX-lm6N4A,1512,170.53120837099695
lREpXGRITldqjhvV9Afrzg,1513,143.23515949312565
Ej9yx_h8NUzI1iIzhWlh8A,1514,42.507258193666914
bT2Q1X93vuqcWx9MKfdM_Q,1515,97.89812260968698
MoDTvDChIqqo7iYC4B89ww,1516,142.34040625324295
WB4mdm_rsqu7FitjlP9yEw,1517,216.20106307709048
80qr2ztLBzNbEgupiX3P0g,1518,259.4606644253545
B-UEeUPwgdr58qsrGQldsA,1519,85.90472310793312
lh0jh6oCqUkF2-WygdCQaA,1520,291.75046460255174
zhka2CHdz6AWIXLwxyQhQw,1521,46.129682264618566
z4VcZVuZn0GmYhQeTEu9nA,1522,285.90147881141775
hGcLtu6yJ6Uj-y3KmEbixg,1523,192.0759705034929
unf3LriF8t2tg6DQVA0Mbg,1524,34.3341698391039
gvgkKJIBoyWRGzJDAjFt-w,1525,199.42943170557257
G5ZyLzwaGwVLL8cbt9jMKA,1526,173.36451652564938
bhECPxvYRn22Nf75lKS_sA,1527,133.292237741223
xZzlkH4osfDjVU2Q7CrS6w,1528,209.98882046243534
VfsIIOMJoz0kQJLU6MJNEQ,1529,172.7238861579049
Eg1s1qdoPi0XlMOv0Ts9TQ,1530,277.7992169762348
a-RJwWCAE3HfKUEJ_UoHIw,1531,160.98516463745574
T0Mesn7gD_v-7FAtNBwx0w,1532,167.56577315406645
ljAm-SHYzl9QBSe7v0fSEw,1533,303.43974345783295
TpvsLTeKbV2oiPoDHXgGLw,1534,123.20492813617625
ywmx2t84jaZ_MbnMo4vBww,1535,261.23380850215267
OILXwALfjqVpLZTdV4ExrA,1536,231.12360220959482
fSB-Jlo3WEoO7XItLsnHmw,1537,141.47315498228966
kVI3wsiFDdoGzWg4rBGDQA,1538,81.63728964776271
pPSiFFRxBUmgpeo0lchRlw,1539,296.77774138833917
clu7CzoOWHDR1v0XW_4-ow,1540,249.78920367569415
VL64NLQU-trNvg4MFW6b-Q,1541,191.27954066927398
4ml5CEjPJeIqmaGrrGwHIA,1542,319.944091634788
-xYc0_BisF-K9CDfhAUNfw,1543,117.30352886707365
Lrj3sf5k0AQLbSBegaAhiw,1544,293.832899964378
9VivMQXGXZYg7No2LhQyrA,1545,138.37365835916395
cyDWWcd9waj2X7Rw7OXUuw,1546,69.61381740749037
Dpx5NZlsz5UgCqXyDwqjLw,1547,171.61195559993436
W5pPwcWtaaTIugmVmdfu7Q,1548,157.19037718025075
jr7xNQYRul1yid1_4PoxNg,1549,61.1475022370782
_43iYKv8k20kHsKOBgGFew,1550,186.58327767811613
OpBUZgGa-1km-e5iBtzaxg,1551,40.880838751728064
pTxxjsToQ9Yo_F1YASBu9g,1552,231.69479243765687
-w3tHtghuSaCiNi8bxekdQ,1553,80.52035805088546
qiDZTwxwUKxNiZiOIgf92A,1554,153.72904646719564
5yJmCrZlhm1Fv9vMpHq0fQ,1555,267.2434896894002
QhybTWZjNM1KsIDJaWcD3Q,1556,183.13224850874002
FTABAmkzGWhVqfkr-v3VAQ,1557,101.68513918040648
LlRys7QHwJ0CBoeX0HnTOA,1558,104.44121892414177
KLdAFfiZ1OW_lgXwuPFeuA,1559,82.71940972185168
Iz2UF3HEG_wYSuxPmrgUgw,1560,123.94796980376047
cQEp-XBYcsDs6kaMWTxWeQ,1561,67.87256789416851
Avsh1Ua6FDRWof3xZSH4aQ,1562,72.83717341202735
0A2Har7dKsWHvVhK5DvpEA,1563,46.555474377618495
szp0WBf4mdqrC2fgUYhdpg,1564,105.42331933316225
zKRsTNUnF3UvKuZNMZS9HA,1565,264.6807613555337
oyWCB7WacmChOybPm7NgoA,1566,97.28995282496957
bCsV0p5dTtNdJQnFgzwjdw,1567,98.21970838737207
p2E0mTFqAWCe3-frEWUviw,1568,53.24048670845776
OmTpp5NRgEKUBfn7xSSlRA,1569,144.06953493494908
bmHLeUl-Duz0UbabKDMWVg,1570,276.15773416057755
16CcNj9EZGvGMNgm__-AbQ,1571,193.64865134431489
WmsCUchzV0-B6EXcQS_L1g,1572,225.9884721703553
vbdvY_GOZ29nxctXwbxMcw,1573,48.49101380658084
puAHlkODbjH--3UZ4dZ6_A,1574,291.75046460255174
oqbozCdwuRnqUMMR1aEX2Q,1575,192.03673532951137
tEPgj2yMXvUKkq-SdZa3Pw,1576,336.8014567436845
bOhSXxW09ad9pB2roPgiFw,1577,501.30036817660107
y0NtsMVJJKcJXb2bEyD8KQ,1578,480.81860878643624
MOb6KCdsuv0IVJzWRFxU2g,1579,212.3270248421991
48CB0w4Tw4k-4VEl1mfJkQ,1580,194.53024728072785
fU0sm9rL72C7oYhunndwhA,1581,188.3438318653306
u2JkbkvRSfnQb2pfsX18fQ,1582,155.49094607414747
qGV5JvH4UrpqcnRvoXahMg,1583,141.9508213636836
DFIV8d17PMfdr1IadyooHA,1584,67.19318594692594
LAjvBw-M85p76m9grMReFQ,1585,369.20868773482704
Gw9-WydKktREhoncru8iZA,1586,227.96658016404444
qcQCtM1bULZy0AyWxAC4XA,1587,226.74228651939166
EQpAMzM49u5LiCDLYCFoLQ,1588,326.56891373122096
vuwOYmGD26JwPcMrhqM0qA,1589,261.23380850215267
eqUho5sGedwKQqyEhRnNGQ,1590,33.213132216829436
8r1lxPAsqdM71QYueHgJRA,1591,53.363812689643446
pe75Flq09afy6pkEgSkDKw,1592,22.252813888018697
Yo1NyGm1_CJIQsXjl7zgLg,1593,264.6740082208164
EscJVVW2TUy1VGMwfm59ow,1594,47.925740315565754
1PN_geEcLHvqVvuE_0FUqg,1595,303.43974345783295
awHerqBA6b7vfwfI7BxLIA,1596,57.06522055651127
zijY57ORJ_fijc4qTNAt0g,1597,143.75490451923966
QTW19WcZ9vkeG0iTkTs24A,1598,154.87023716084255
-jIUPH5cidxcyrkl4mC6Ww,1599,272.4424569436145
GgDRkf45C9zV38p7FoxqjA,1600,223.55192261253202
gcX8MbgWGIoHv3VpCLNMCg,1601,193.2847593946032
Y9f22dor_Pm4kZJAZ6GOfw,1602,129.64102498274744
WWUhizRRPR7wRGr0mnBo2Q,1603,303.43974345783295
qGvK2JCkAjqsQkz30sU5_g,1604,272.4424569436145
NI0kFNz0-iornAkH0dVYhQ,1605,111.24062497871756
gsNs4CiZOOkF0ig4wIpb-Q,1606,44.34640480041825
VVHcAebfTvEsyxl0jn4R-w,1607,166.71525952523845
wloTSi-4spBPZOs7krSPdg,1608,132.3016350269148
HUe_2Q-S8ijQAuqS7VybjQ,1609,154.93476717617264
mtdrOFp-pWjQ7KXjvoSkSw,1610,110.67727214070666
lI69j2_bOdFWSp1CBPGYvA,1611,45.219206733602164
rfeOoZAns6nczSBnZ5v6sQ,1612,133.21753973808794
khOBeCOJzg7Y1qpjnlFzEA,1613,332.41068530975843
-IvWvciCuuz1EbiM3EB-sw,1614,146.9199010073987
CC_Wr5HpSrp_XVv9cBDbVg,1615,271.5452096812141
iZU-Bxz_7F55FcX25eV8rw,1616,261.76560505713604
KeYRL03cYzXxOX4h1xkzAg,1617,349.2261668438293
CVTfbRbNmKfvaqvwFumncQ,1618,133.21753973808794
Ygvjo-F5LpDRTwelCTwv-A,1619,113.25806573630693
jSWVccuVldSC4yHW0a0Cig,1620,248.80795897098403
3XFsLgYyfBHEirNOO-CHcg,1621,38.142116593009064
FN8F9a2SL5Q9a317wmXiag,1622,362.60159691077445
b2jyhPHCmwh3lOZwZqlC7g,1623,263.2423341241874
8XR-pIg9ErHLKrIsysoc6g,1624,321.99668922587557
ryBKgiMFBJtYwnLBf627aw,1625,51.86123780702898
67e_-1DsnOCSREPxbUq6nA,1626,97.40794623086565
-zZ2OjM3mpP8tk9TDO7vEg,1627,272.4424569436145
AEfqxVeMSQM_EswX-K7UVg,1628,157.72228753999568
pyWUObb5eJX0Ht5W7cj26Q,1629,141.45766731924695
5jDhWYIqSKM3T39i86IsaA,1630,210.68820671707306
Dto3z2F0Gy8Fn3I-Sw5czQ,1631,160.74994170099882
gJ8VMvMJCAGtXn_ZxhAD0w,1632,142.79245472967887
DwKv-GllrjiAw8UDZdPk2g,1633,100.85156947268506
VjSoKsB0KkcWj2GYCXpS0A,1634,81.77283901099307
TGm1ET-Zp329TORei8mTgw,1635,171.58749107483163
NeElw4rRBXnU3G2sVWfOww,1636,230.58369645755042
o4mdefz4JgVrM2f3VqExuA,1637,245.22462074750365
cmi67h33EdTQXwfI-Yb5mg,1638,77.91394819593121
RFAeXqMAQVu5oLSpUljpzA,1639,488.4703228929023
yUPK0xTN28mQ15iXOo3_1A,1640,126.96774180900591
o1Q_8GvGngZpxz55v6swxQ,1641,85.46766671523496
8Rjy6XV0sRwQkSKNdBBnvw,1642,167.56577315406645
SazeOX_ObBLTEVsD1aYZfQ,1643,269.46643841128275
mBKbVzBU7brvpbdFWq28vA,1644,136.06776260644924
DgqktWK-Zk4qmKNp3fYS8A,1645,257.6541427948459
UdloEeC9yikVGAiLB_tDnw,1646,304.9963178902079
oHWaEAXxxBTuQYzjzAJJrA,1647,241.79890600118375
m0k31Hxo7hWinbU6TsM5MQ,1648,19.515293718037956
SGPCMemueCd_YkmAbiCRHg,1649,342.0372956493877
W59bZGmC3azXY9ZbBMOrXQ,1650,223.8271268860932
iqrhSoglBOcye888y_KMXw,1651,159.1865017557867
7v4Y75pQ-4V93AWtJo8flA,1652,142.4450469119101
hSlbirXmf28wjan-7C_uAA,1653,220.88223822060036
yM23Q0pBqJuZnGmkO65Tvg,1654,129.59326194356146
6sZ-pcKM4MQa03NlpYy2OA,1655,225.9884721703553
EtzxSFjmDxEHv0aA2E5YlA,1656,174.4191990350124
RW1MUAalKF_EF4Z55328Ww,1657,253.58119007341563
HLijTjPuEdhfRzQaPLWSkw,1658,97.40794623086565
7RYpzMNN6cs6NrtmDAJifw,1659,35.659687120448986
3MvgXsZgm1prvhmmXDJz5A,1660,37.344128269467255
_Wo1LyMHNg4TqaQD_DKmbQ,1661,70.24368789463986
12XRGUVOM7jfgsQdxjQ0Ow,1662,296.8707788893516
wjv_9xxOODaqN8e2t4T39g,1663,56.365740878629765
Iiq2vPljVkXoSfk2tCPeBg,1664,172.32272144224606
FtDtQjVNco25pAVQ7Z8-qw,1665,125.51755503680623
6_NKQstcwce9w3TDAfzGvw,1666,103.28767930856739
pRlge0jq4WncvSugj-l-Dg,1667,88.62579767922978
lUGFwX61OGCrAwx2Q9W_qw,1668,74.16995722110586
lz5HahVUKnA9frq9sfPL2A,1669,50.91531290060011
VzKMkJftxePw-1iapzWPtA,1670,488.191237032023
c5snxLKlBBlVnTnVi8vKkA,1671,172.75463377707297
rCf7JcsE3TVVQKsNmtZY9g,1672,24.324105842088425
VRKsK1ocYoApWkiGOyRxZQ,1673,167.48919062187858
WZUll0VQ501QrA2S8ceEAg,1674,102.87670677603177
QObiS-Ssukbuej2nb0b8IA,1675,73.7242752376265
FiVHTjZFoNIB3Ndh4Cw7Bg,1676,53.11543412023683
7Ji5gm-2bTZjOXma6-qWmQ,1677,41.719572495497644
lcY1O-yCKfk000ygslUZ5Q,1678,52.82227030106711
HLhgDlM6jj7YhaCoSlY5BQ,1679,145.6445578277588
sJBuF8_2LETg7AZMlzQDrg,1680,119.99706853662087
f4Hmi_zF_Ns7V-Oqp2Ad4g,1681,100.09575351928117
NSenOnHMaMQbzyk8nu5zxg,1682,110.6827156652055
uS66QR8Ou7i2jqwnWY45Uw,1683,94.6311321043088
jXFARJIJnU7n2IXIMystkQ,1684,116.41918122808748
1p_5GbcWR9eBMGfwjPaHGw,1685,95.11675630569029
nDrrNAckQEaHf361C6KxnQ,1686,38.24155103157459
h9EKnD9kwDBXp2u_o_PNlA,1687,120.03453545899896
PDmTms61rX5n76QqbI17Lw,1688,52.223481878221584
QyoE-_sZkdSYPBrXaFOkpg,1689,90.5581633636382
SFe9APf0rRYYh0Aqsh2Wmw,1690,267.1018256297478
57kKr9aynXc-BQ1f3ybmzg,1691,395.5751953527689
eLO4Wr73SOn2KMuQXJ8NlA,1692,46.67265394565311
DcldeKafLrd_4ytMJ_PfWg,1693,56.21112515010119
nHtSFhK5nqrxqv8bi8fzrw,1694,401.79563821541564
TgWbrHNaL8n2cgfD_JE9HQ,1695,116.6272961346456
XSZVYonHb44geye0bW64mQ,1696,68.85741765813925
2C6s5XGIJDY6NTZwbKvKDw,1697,39.955535980652435
ZIhS_3awrhFT-j_4EZHaUg,1698,36.81786469725535
H2T2IrSZQiVE_JRXWdbA7w,1699,126.6141027243529
QWxztkEVXkxpEczFQ1dq-Q,1700,144.05085717037426
sW6UhKa7qL4ousqEiVLVTg,1701,117.91075917354182
Dk0LzCsm_WMx4_n31FMtwg,1702,55.1710430389956
b5HrfMRDdbm0YjLS8a9LVw,1703,93.50949471902167
sKGoGRN9sYq_NorWzWYMHg,1704,72.74329473925894
igCjLoSoBTzyLtydS8eecQ,1705,144.86243424683647
HtS0WvDmssXhnxvIH5LNnQ,1706,128.25966065498184
MRVKOhNlv42ybj1rJxQN0Q,1707,13.16869711430014
1bTmsr4COzaqROecYPW25A,1708,308.8144439378578
YVisgsy-clVQk7wz4LFygg,1709,90.33009740175386
jxXtj1teE4SS8VCItcwnBg,1710,36.83678074765389
2l52Be2FP8kCK_0RHfr3_w,1711,63.78902619213956
cs4muvjqU5tbPb7fxgtriA,1712,439.0511766729062
g4MYwDtX5gftn_xcKv1VCg,1713,96.30843052605405
QrH_rUT4S1qVCedCwGgyIQ,1714,105.5162361004902
aWDZNlIQ_4sJXu6YyPiZ_A,1715,66.57265079985999
j-svRNS7AgwA8Wt8bgk-bw,1716,225.3218469253883
1WhOx2nl9PC_o-KclHNPbA,1717,101.49156190706012
rQzF0GZFFCpXPZ8KvHglbw,1718,62.75619206216894
gQPwplZ9_IO43_qGJ5ePaQ,1719,88.4818767106408
7HJ5lKWo5AyzvJSjQ2RgtQ,1720,290.3106504700607
hHsZ4ppvul2odtT_QT2DtQ,1721,374.63639412298494
z2bMq-OFpuLyrIf7qYQkHQ,1722,35.97147171180968
nRw06J0GPMrBpxHhfjEJQg,1723,118.3938122246543
ufYjh2v8bklmo8IvjCChLA,1724,431.9323820682369
bBfWvL-5lBLIQGf6WYRRXg,1725,85.36622967539266
mn3xlkpg6AGMJ6R6dU14fg,1726,40.61389597517526
6IxGE1wQ-hQKwQFY_ac0cQ,1727,55.1710430389956
WXADq5-9r_7Jzh9UEOd68A,1728,99.92020947834
DuBAVOYQqdDd-471dK8ESQ,1729,108.80832378622512
hZHj9Mba_dlvBbnHh8gUBQ,1730,37.02868089889865
5oJMPc5QhlgZeE1s_dUAGQ,1731,341.2710992315233
i_SgKyXHs8YIXUYWpmKXDQ,1732,93.22813282693404
Piy2j7scJI0DuXQuJdxbyw,1733,46.11342713086598
YaNZ3icPFhFW0azyxM-vjg,1734,111.88891948600828
VB4Slz0PpIkEtLrxqf4TuA,1735,120.1121058781934
TuVlb2BbRKWQMLacnfC-AQ,1736,49.37513000043302
pIdWfahgnQjletg8bHg7nA,1737,79.32896476191569
b11dHGzE73oKV2QE_XjlAw,1738,135.76479405725007
KYSI_arASXi4nk0GlupRbw,1739,79.39861644723983
VaQorUqO_sQDHB0fooJPPQ,1740,452.8923720403338
STwo25wLIiZcrYFVmhBLSg,1741,43.5905887398789
00oxc5eUW5yc5VJcI15W0Q,1742,78.2122497934649
DX7filSto1et0wMcRD8Ugg,1743,233.30222161803678
WrdUFNbL7Mdsn1I5KltCiw,1744,250.9597866741524
PO2QHse_kXnrrNW4EXcpbA,1745,372.2600574271394
PSmohPsBb_nOv0i4onAqVA,1746,61.18855797698369
BCNjnoWSDZzt13GmHzwEtg,1747,346.44069550900764
S8jCZMS9zWaPbJPaTjCGcA,1748,71.39489136961768
II9loejxqUZU_c1hfEnHAg,1749,37.10958315575265
2lVxzKOGVmwasYrwQzhxQg,1750,232.19701659467466
Omym6_gNPDMIRez2muAZ0w,1751,115.28286026744858
OOXOQ97gVnauzAsALcNByw,1752,42.63018957317456
53Fopr1-ypqOeGlOWfNaBQ,1753,168.55333078797537
9xQnSfDtXBQ1kNTp8K6tsA,1754,64.97104070839003
M13QlOUjEuftuH8pE4BGDw,1755,134.72673797805857
Jym1Y-G0Q5E4kOnwZr6vBA,1756,44.301460781681016
6iXXJzG6wJIvlrS07MT0wA,1757,175.7301609935135
utSIVcvsjwUJVJhdizrphA,1758,78.44391173842395
LNmovpVbHI3XXHs3EX3GVg,1759,421.73434277930113
77aiRQPOVO1j6DxrPi8Aqw,1760,461.8620539036499
eUWnK_MdOtUnmCgDWNOEMA,1761,100.72516285071971
akQceWHvzDUbmfom7JS-Dg,1762,113.97020134799051
IfbMy9GXTNyNPPH9XqmZNg,1763,103.36380627437968
a9D1GXwTedZKiNZhEigFLQ,1764,39.00932129447977
nDAFSwYuXWEXt519Fc0luQ,1765,108.53917175401271
Vcr2GA4xgh5k8e85PnzLQg,1766,77.53347459002616
h2VpmE2M1KS5_G78v4pZSQ,1767,329.54879800276626
xvOjD_cdVLmMPaoqqh6wfw,1768,141.83378533163906
dIOMeyu-VvI29SJ96fLT8Q,1769,43.1699940609747
FOAzJD3x-p1zpwCNaJwxyg,1770,95.36616138225524
bT5bQLRn_YJB-jw04ZHSNA,1771,132.60734722399263
UgfP47jtpA5FsWPvd4XjKw,1772,191.1841266947354
jTDGMJyxtqUGBreURMTzAQ,1773,111.1581426085375
naT5l8grMOvozCHL47-teg,1774,63.10957045693744
0g-jILvJuvz6RsI03eW8-g,1775,58.38403084564686
o_AxBnGUith2leHuUFAJnw,1776,84.22951520141592
rxRg_-fwy2sYjC_yGUnCsQ,1777,52.07975614180143
me8HkVGQdaRkd7-mhgnDFw,1778,38.71026738336706
Nn3YvZjarJ9Y9NX7-wN3Xw,1779,55.01354058243669
eN4Kw9bvkHg4tjeQg8B8og,1780,354.8222364860558
ZFAdJP9ycw3tv7saywLpAw,1781,86.06728680280696
p5MuJhZetiNUyVgt9qygqQ,1782,139.04409133416073
CPNE5pnB1KKxDAB6DyV82A,1783,125.21974464069267
2CtCVkIKmRBQeFdfn4P8hg,1784,94.14070389635097
o5NfAb-HF3nROLDFhLVYyA,1785,222.27028950351303
xNRFUAUArvcW9Pcr3n-vEA,1786,75.86953485424355
A7lIjoTGa7MqI2jttCMzzw,1787,15.579586609466181
wb8vdgXZqjOaw_5XXXMC0A,1788,34.38750982351505
smtSsY1ZRHpZYHvgcYqM9w,1789,319.23591356541647
3RXKN1dp29L22m8WfAN9Pw,1790,113.95196338487561
MIeqCotQ5sV2gfJKftgilA,1791,113.8067095456962
q5RSuoJqRVe5hYRJLErdpQ,1792,102.03713123297761
NQc92FiOADxZ2a54JuQjuQ,1793,248.99396668900903
FEz3ZojQ__iAaxh6DPU0iA,1794,105.61661821706687
cqxlZkilUZIgeb8Jl2pM1g,1795,59.609918760771706
a4_pcAqrgbTgC8U3fk0UTw,1796,35.81876521706786
v-zSIPGe3EyXBoqL2iy_vw,1797,198.38554949192002
VgLsOTjRTS853v68rVNNNg,1798,130.84296932948996
a9esIc9QJ13EqmfR14R6SQ,1799,33.11294788608804
t3AgEiuW_p8U9nrpLj4n2Q,1800,39.82037762805442
BbCcisWJ3XN0aaCP0k1T5g,1801,238.68847191305596
XmC6JB79x7mNTUMWrNAPhw,1802,88.72471322602912
bwp_MblDuyvpGDxMztwn1Q,1803,144.05085717037426
QYaihSjvXMPjWvcdEAD25w,1804,246.14822673259073
QC82Ptx_iXJI1sK3V3qbrA,1805,46.228038127123426
VkV9NcJQrnPI4TT5eOTojA,1806,1.5618500303682739
3A4lHmjjZCWjBa0-UzF3ww,1807,57.95838421789259
pRz6R7hwGRpeYuiiG4vi5w,1808,101.89844983993133
Eqq4qG5iCcVsBM3DEaEtUQ,1809,42.09266119737796
Gx-3_5sSj8JfeIjVahJE4Q,1810,86.73047087028277
npDP8MyV5xwt4QQ-AhiqQg,1811,8.886038898969023
BRA5zMIKAkpyT1dsm0Tb3Q,1812,143.79250005383784
qJ9bZKCsu5NsWU1aWGdtog,1813,241.4099050809256
0FqajTwIzQVHltOdemdXSw,1814,84.83289261405103
jRC6KOz31AK6PGo1MXWCqQ,1815,214.3814279361699
W4arT-hC60d3PZ8lvRE5iQ,1816,117.43247161966839
tX8USJxwABgCguuVdbbieQ,1817,17.248884970683005
in1Xn96pluKXMkIsKT8EIA,1818,38.833651409080076
AbEaCjtc1_ihDooaYWH4gg,1819,68.07758992080171
6uCP66HB-rMFF0opREuLog,1820,44.06409165076326
zuI15QQzQQkj2_r1CESDdg,1821,324.16681287222707
a7SD-ZC6HlLZaTPwX6dSIQ,1822,69.49180300493089
0QiDw8jcelX9m1AWAnmung,1823,83.56541743557734
TpSjfy9nYvzKZ5Fes2P1pg,1824,136.50750811437706
9vuffS6VWxOPMrfF6UHXaQ,1825,367.4593194868621
lz-YsyxHELaPcs5UsEa4bw,1826,648.1491775571201
Wh3z7XFKCKKMvOvZYM2lbg,1827,46.850878766789656
5RCklr_Ka5XzyAIRG8NMIw,1828,44.86130590725644
DenHRj3ItYp8r0DRPmRlkQ,1829,239.21064856160075
sv5hmxay2YwdMZnFLV3xLA,1830,89.28037010268106
ZFHzPccrwtL2lIDEhMrXvw,1831,31.460901847659127
TRlJPNN97a0zaqy9eBCyyg,1832,129.52158874878114
HaTfIVkaYTeT05kiSq5-uw,1833,117.83793671992086
s5vA8kJ2m0HzeEVVXzD7AA,1834,122.9926508990144
59FY7i8zizzi2DdiBGYnBQ,1835,354.8222364860558
8eZm-qzWSnidPa7dF9Smsw,1836,236.73736130800802
iRDprwwP8gfsZJT7Wy5rBg,1837,459.86981541961705
xcSuEyYB-4QhMI86sGZa0A,1838,67.88190296399735
5XemnFF7ArNANs8SG1czsA,1839,228.54592165410463
HIx76xqLIh5ZoEEShca9lw,1840,42.55962263365045
9Y1I7qtweqyU9af-7AbOrA,1841,94.05386236042929
NE426WjRsgxLqyBXdzaKFA,1842,54.43407875404682
KzIF5mJ0Aod398xOmJdMqg,1843,51.45055547982224
AIcHRDSfs-xaI0y0stkoIA,1844,46.715822510486895
TfbiNxUtfkP2MhI_LtyZHQ,1845,420.6550341299864
NBjajow5fa08WzvweWFlFQ,1846,114.1121710260316
YTvxFLEdcsF5CjDWl0qYYQ,1847,34.38750982351505
Fks0j7dotDeOEqY9MHoTNg,1848,72.01753435967674
vKtCmvs0DuIDAHKdoKhumw,1849,52.38824877528325
QaknSc4cGyKnOV_J9dKBXg,1850,18.959318095746088
8sC3n6i2dAPEfIA89sC7Mw,1851,117.78673418245761
RNgEAZR2tHcvIt44TFEh8w,1852,69.66161907930878
mQk-OMscVf9iBkQ3M7nGdQ,1853,117.54992709242876
a3n-wCLuWf_je2_03BCzig,1854,122.23520855152204
RTUU3Kb2w0mnTa9VVwTFkQ,1855,456.97342338390746
Pwo7Wq4hXSFhjewKWhOIow,1856,74.59427850060979
yFZ-QHNWE0pHlLAPdeuQkQ,1857,121.89516739235053
UuCp9GnX6qegJkhhvqjRng,1858,138.60941597662523
TtU5QGXK58dEBGW4efbS1Q,1859,396.73547999728464
A_Jvg5kEJZHs_1jp28Eg0A,1860,134.6520920510801
IJSjVw2oYIa29zv-hEloqg,1861,381.61236749748986
Am1FdupMZ7wi6L1RpYXVaQ,1862,53.556408436074385
48KaIem5CZNQ1vI8RreFwg,1863,62.56393447944019
LxNQf12J30aXYpG6XxO64w,1864,123.07410508179082
D-2_47bxkx1yeH-QbEoKmA,1865,234.87743370794675
MEket8mffqHK0xP4eDQigQ,1866,27.529634655211755
rohJIKjvlomtQD43opGl9A,1867,55.21548404531245
h8iBcd12h3BhL5rJp7r8PA,1868,251.05085531806398
hBEjPIDD67cAXBOoxvy1EA,1869,99.90204883231425
CzdY0G7_W8jxD2PvPRt16A,1870,232.2352535990586
iahhFOS4Jv-ctkrPVNqbeA,1871,150.08950698466197
y295DQUIn0K1AIshn3wCBg,1872,143.68162491056924
fOOZj3ssdTmq0_POXwszQw,1873,112.66646962278796
3TRop28OWGUfVzkZFcysCQ,1874,406.90197782169383
