,no,distance
nEVN_yMY5P13j_0j2G3uhA,1456,99.66449450138353
sr8GjQ5JOLdzfstXfDnPJA,1457,15.235967215048182
pmJrLe4RdSiMhEG-apydtw,1458,561.6262096657609
Zvlf5AVJmblIwhncprSE_g,1459,186.64673084518154
Lj1UlZDJSJ_-3svOdbXhbg,1460,93.88547173858628
6D94K0B6TPd1-lwMt_eC8A,1461,82.43869063863146
sASH7OqiioU-GqT-JQzt-A,1462,5.965101389619464
Jdo7vVAd3hRsC1b0BB3DcA,1463,250.0947823345282
CdmyyQgCJPvmH_h3QD4tnQ,1464,253.99232472331934
BPyWkd2sd10x80tb3IiXOw,1465,338.7540079728755
Px4jy432G7pp-zZAfSZRAQ,1466,268.90533865721375
3FpY-kp2MhGXxvwl-gM6FQ,1467,114.36992224392773
vwkCYllM3tXxjsIU5Mfvsw,1468,38.66565224461279
vrGm2GYmxOSfuyIlcU7b2w,1469,185.5437631616788
fRNCmStKTSCkJBkkSdwEZA,1470,245.17742862261707
wNpiOXCZJpVjHNw0jd2Ldw,1471,58.13702145617959
JQWYJMCxJZfxjZmnHdf7VQ,1472,4.2053225710250794
UasR82r2IQmJzk5H8f4pQw,1473,32.53126193338713
SIYZ3bqLlhOGo4Uyl8i0lQ,1474,587.7811935719218
tAMw_EGUofPzjCw1BshUMQ,1475,86.61150468713913
EGNZF-5P9X9rMFnmfLwbmA,1476,188.31454010805848
PAaagr3ejMNRHbuTiwqvNA,1477,24.693261932908342
VVX9I5Cu1dshGhmKu4s-pg,1478,201.17815646269517
hrFXVGGt9U_pcp_ArsYHfg,1479,70.06505875206607
bewkz1hzXlWQ8rCZqblmIw,1480,256.2259933306914
qAYKUlLT1nu1zcweQart8g,1481,160.28182878842813
LBLxVFl-M62Dh6Balg6E0Q,1482,190.63435107302666
X5KZcnoHMCEBxPVcUZVOqw,1483,72.83833240032126
TJZF7S5nSKmrLIwxB23XSA,1484,252.98280945963808
h79i_XdIZk_SR7IM7LnrYg,1485,133.56593845333305
O9cLlJIpBL_4xzR5cHVBTw,1486,226.32017809588538
1uwARH5BoHB448C85pRDEA,1487,257.10866101759115
T5RWIzZm9xoA1Wuy_8G-UQ,1488,156.23783197024457
LfdL4mkHqrzhcDCL_IAm-w,1489,197.18593522869358
zyTxQM6Ada_EIeVHDqbifA,1490,172.26674078139868
Ao7NE4LZcKnxey59ORIWGg,1491,140.49770375068059
li-fsD3duC9MTXjYrSaaaQ,1492,234.06518177404476
ZQkVO4wrPbtz0WVaJm4UOg,1493,207.97270986506592
H7ZpUeEIYGBBDs5y1UrsVg,1494,138.6886041924104
