,id,price,rating,review_count,is_closed,zip_code,epsg25832_latitude,epsg25832_longitude,epsg4326_latitude,epsg4326_longitude,success
35,M1lUgg7Yiy8bAoU0Rb_4IA,€,3.5,2,False,21037.0,578668.2921897591,5917205.80607419,53.398067052642496,10.183157194778198,-0.5659266010011336
36,iN-BjHDQcN-3CT2jVZkwfA,,5.0,2,False,21423.0,578275.4128358086,5916602.101991878,53.3927,10.1771,-0.22495202244293164
37,TkiIZEZ3i-xhL8cqFBhxxw,,4.0,1,False,21423.0,579409.5118121367,5913616.5710720075,53.3657,10.1934,-0.5904990589126955
38,YS5tqCrZXirfweAOW0yoyA,€€,4.5,13,False,21423.0,580218.9360587164,5913493.460606348,53.364471400000006,10.2055302,-0.4754854917406027
39,zithk0a8dRP3JX2SzRy9mw,,5.0,1,False,21423.0,580357.7529408083,5913415.422894447,53.363749,10.207596,-0.5904990589126955
40,ygfKK-23nd4K9BO3sULFng,€€,4.0,13,False,21423.0,580350.0105788606,5912353.856649256,53.354209999999995,10.20721,-0.4754854917406027
41,Ar2bPokFSXwqFTiY9PBppw,€,4.5,5,False,21423.0,580331.4389488053,5913247.511555936,53.362244,10.207158,-0.4550963713523659
42,G5DtYjTrKtMavUCTVOtIYA,€€,4.5,2,False,21037.0,580322.0422843837,5918371.062883088,53.40829,10.20832,-0.7242530342355942
43,Fq9hUJwRAymWH49MT-JzqA,€€,5.0,2,False,21423.0,580402.4241255117,5913505.308685936,53.36455,10.20829,-0.7242530342355942
44,bInFKqtCvFaLxeApWf33OQ,€€,4.0,11,False,21423.0,580286.312669764,5913105.543005343,53.360975,10.206444,-0.5207159540124193
45,TTbVupUNoYBGos_qlyam5A,€€,4.5,2,False,21423.0,580423.4410862884,5913205.048353338,53.36184839999999,10.208529400000002,-0.7242530342355942
46,wW-6orI-wOFSMupJmoBIrg,,4.5,2,False,21423.0,580446.236961139,5913284.171313534,53.362556000000005,10.208892,-0.22495202244293164
47,4XUC1FOx0LNS3CDSqh534w,€€,3.5,14,False,21423.0,580295.631760887,5912774.662718978,53.358000000000004,10.2065,-0.4528702606046943
48,x1hqRJ-4hpFAgn8WmliINw,€€,3.5,6,False,21423.0,580085.3289656615,5913522.19962984,53.3647499332915,10.2035301178694,-0.6337921096919609
49,ogs3ehIibnN3RCZJNNJzAQ,€€,4.0,4,False,21037.0,580307.1494269596,5918347.443117344,53.408080000000005,10.208089999999999,-0.6790225719637776
50,Gwcu770yDkxpIWGbd4zD3g,,4.0,1,False,21423.0,580271.3510757986,5912872.172858324,53.358880000000006,10.20616,-0.5904990589126955
51,KrWywjHn-FcwZ2CHH5RiNQ,€€,4.0,4,False,21423.0,580453.3406729139,5913289.187634235,53.3626,10.209,-0.6790225719637776
52,KpKqXirjKzUn2X23S3dIeA,€€€,4.0,1,False,21423.0,580139.55143997,5913227.134798934,53.36209,10.20427,-0.7327948354839608
53,0G3ZHPyf_juI-v-4pfgo_Q,€€,3.5,3,False,21423.0,580317.0583650488,5913476.04630438,53.3643,10.207,-0.7016378030996858
54,qS-npAjgCVAk6_aKcvoWsw,€€,4.0,3,False,21423.0,580351.3633628854,5913454.371754655,53.3641,10.2075099,-0.7016378030996858
55,fGEC5AVijmhEMT86yM_TYw,€€,4.0,4,False,21423.0,580321.3840305355,5913220.19087331,53.361999999999995,10.207,-0.6790225719637776
56,v_M4HtQVoL4SJiuzrKW31g,,4.0,1,False,21423.0,580308.2633738312,5913208.84174223,53.3619,10.2068,-0.5904990589126955
57,yQTeZaHrucZRE-3pC4XpoA,€€,4.5,7,False,21423.0,580022.4088744355,5913582.346965741,53.3653,10.2026,-0.6111768785560525
