category_restaurant_id,category_alias,category_title
TI2orC_tUrfypZpFjXbLOg,hotdogs,Fast Food
hupBDwEm2VXHR3CU8oh_WA,hotdogs,Fast Food
oXxMdWPxtjqXdlHMM145lA,chinese,Chinese
VbfhaETEByAuRuq5Lr37Jg,northerngerman,Northern German
QyjsnQNKCaswI-0sCobI6Q,german,German
YLoGj1U0_jJy1Hf3nx-FaQ,german,German
e-iWta6fZSAxxqOpPy0ZrQ,greek,Greek
MC0hhfCNSBo7BrJjDR8BNw,german,German
Tl_AKFJyIG7z7wmPBZ2gHQ,german,German
YFPL5w5keAybWu4vdyVvNg,italian,Italian
yWMgcEEYVr4CGQF3Wb0l-Q,german,German
BrGgp-LimE5DBPaMSG8CSQ,panasian,Pan Asian
E3TH-n5p92IcGCmA56FO_w,german,German
RdTUH49yyWvn0VfpeF6EFg,greek,Greek
BHNcHdohBm-CXaLPbm7xOg,restaurants,Restaurants
v4YTTPwAFACR5CSGiYGN0w,greek,Greek
fW460rrxThrFlHGThSx_Dg,italian,Italian
GHoTbTE7KLHhAa5uiWmYow,tapas,Tapas Bars
FYX0aKiLRAtvA66MndlPVw,mediterranean,Mediterranean
JYvmyWarOyFnifcMFK4ZXw,hotels,Hotels
SHKM2iuxD_4A81opu08ieg,restaurants,Restaurants
CqAsA5szZG0hPwNOEsocfw,kebab,Kebab
J8B4htIIMhFbWnzz1MynwA,wine_bars,Wine Bars
MyFNVSZYDGoCpPWFyaxKXg,greek,Greek
YQBtXX3wwLm_nNjpF0Fu2A,schnitzel,Schnitzel
sJordO9bdzZQtldyxgSIig,cocktailbars,Cocktail Bars
0iI4ba-9QJiZFWenxmenzQ,greek,Greek
B1hR8uGN6_TuZbu0U7KicA,icecream,Ice Cream & Frozen Yogurt
OHXNXNW-Io_s9atVpWwyRg,burgers,Burgers
HHo7REfDa2YRSQSHH_TqiQ,hotdogs,Fast Food
fWkMk9WO8ox-wwx5VUvkWg,german,German
9_Z0Q-eN-FaiE-_krHSz8g,restaurants,Restaurants
i-2zqkUS_wywLbNx0yGsJA,cafes,Cafes
7LnBhCOlK-XqTcpfOU6m2A,serbocroatian,Serbo Croatian
O9ivo6sv68tH0hQCX6EqXQ,northerngerman,Northern German
TnLjhjCakTNnyNNXG4utzA,italian,Italian
X0h703T67XIN9fjatfIs1Q,northerngerman,Northern German
4J0X5FjiYLsC95FSuMj4Nw,german,German
6lRqjkLfzlbXx0ARqNE44Q,northerngerman,Northern German
I0jSlCa6fDpjix2_KWypDQ,german,German
90-i5axXZTzgaMLYpZw0gA,boatcharters,Boat Charters
E4tPjSkd1wcWqhjQYwjW_A,steak,Steakhouses
z-3JuSa3vtl-WlVza2qtFw,international,International
w7Jdq2PANZoe88TRECMBrg,german,German
IVaGCcBmkiISHs_D6ip4hg,cafes,Cafes
gHSJt3ESDXJAqKYonmsFlQ,german,German
ycthMjyMZfUtBvbi_bidzw,postoffices,Post Offices
nePhlx9hizp4YMQSRyXG2A,german,German
vO9RL-i13lQ3NT_-FGt8JQ,greek,Greek
o_0DEZW03v1HK_fZEjXu4Q,hotdogs,Fast Food
lUYcWHSk9tqO6a3Zy32Zpw,german,German
LKzo9giIoKGVtMsuAvuIAg,german,German
p6NLrDG7PeH60IUcmTwPAA,german,German
wk3uGPny6pidyVukxwQHNA,german,German
HVhu33lr5QK50I8F2s9Wlw,hotdogs,Fast Food
ZvCXfKNbGRtyPno_XwkGgg,greek,Greek
sT4XFrv0HOr0lKmkujunHg,cafes,Cafes
ctYfzIX3CgxF0SyGmLSsDw,breakfast_brunch,Breakfast & Brunch
a7H6qeYZwANboH-6prvHng,spanish,Spanish
TNSx-9txYa456CBRaICskw,greek,Greek
hb3VLlzB9mVg-KSlkf7htQ,seafood,Seafood
y4Qj23Rm3I3S6_Mumc_sgg,restaurants,Restaurants
fn9G7u7Ok4u5aLwtY3Ok4Q,hotdogs,Fast Food
XpcjjoBY2o47QXsa_KatYA,cafes,Cafes
afQhj6UkcZ3z49pd-tdKzg,chinese,Chinese
94Zk6MIaVfxFKUcaFvy-NQ,fooddeliveryservices,Food Delivery Services
wblfKYOU-lF0ijpsXQNFQA,pizza,Pizza
tSgLnQpFHxEmy4v_b7MOlA,divebars,Dive Bars
_LxqJQqvVtbccu8u0A-28w,chinese,Chinese
ykRtViJfcQxt1VKtK-ojcg,german,German
sv5L_hgf5LseYmGlwvPDNA,german,German
0Sr4gLsxW7lthpSHSvQiLA,german,German
g8kBMmjQyqujHvDNxNENJA,german,German
l2udFcs0_5l2JWJtUnTwRQ,german,German
Cf-sLIwvllFcN6QwXUH3MA,hotels,Hotels
GXPKNQKMxeSXcIkc1uGpBg,serbocroatian,Serbo Croatian
C38fRvXCYl8dUQEl3nAqnQ,hotdogs,Fast Food
T6ysCn_BgVcAVlIEcQhs4A,greek,Greek
nMGEgMT3fOc2xt6APKt7Yg,cafes,Cafes
yonxXSPPDv5w0KwdARHKoA,international,International
n-CJZHJlOatDhZAvinMJeA,greek,Greek
-DqKJtRy-0yc1NmCCWSXtQ,cafes,Cafes
1y2XtqilhsXVnr9C7RLYLw,kiosk,Kiosk
Woiw_v3oAYHPbQTj5YlRcA,german,German
GWc6M7-6bwt3Y3-QP6HpvA,mongolian,Mongolian
oSS5B6u4qsV56NW_fXM8oA,mideastern,Middle Eastern
OAYKcCHIkq_92LBitVutiA,italian,Italian
yY91P0JuKq9Q6rISo-gbHQ,steak,Steakhouses
EgKKnh3rXM6vvU8ChA_Cag,bars,Bars
r86H2RdbCSvuBXG4NPe-9Q,hotdogs,Fast Food
Knjq3e0foO65SAwwNtr4mg,canteen,Canteen
oSfMMhQCa84nYUsFIW9txg,german,German
SW6EzuoNeoPTfpWySBiXXQ,portuguese,Portuguese
ayF0e3tcGWWuwFJmjn8gvQ,kebab,Kebab
DkicI_gGtegHuEU5wnUH7Q,german,German
EMH0Ina8IUcx1tKR9AnNZA,mediterranean,Mediterranean
J4PDMBd_zrm2T-ygf5dq2A,italian,Italian
8khiPp6JzIhyCRPxoowd7g,steak,Steakhouses
m9nHi2Gyoyi6kxQDz_Ijsw,italian,Italian
C4cZIRpsrkZwUv7YTmaSoQ,potatoes,Potatoes
gZo-xc8Xc66o9s8exNh3fw,vietnamese,Vietnamese
PpNo9KfhymX_LMVGFPyfFQ,hotdogs,Fast Food
0uPXrKkisF8npCRH6GwN9Q,panasian,Pan Asian
7qe6iEYAad9IO1AnoXMP_Q,italian,Italian
1-bduZSZdqAGhv85_-H5QA,thai,Thai
15RG_V8ydT4v-Dq62f71-Q,turkish,Turkish
Tm4RNPABpZEI7s6RNXVy0g,breakfast_brunch,Breakfast & Brunch
WONM0UT7TO0WPNlaPYamOg,hotdogs,Fast Food
b9JwmnYApmHBlQ6jFg-S1A,kebab,Kebab
2VkAB3DkyJ_2RQSYKksLhw,italian,Italian
xij6Y-VVbGhK4jQZpuZWDA,indpak,Indian
kT54kKJUkaNBsbtfQkmmsw,tex-mex,Tex-Mex
RfZJkJvcrG-4TU1ayVKoFA,chinese,Chinese
stc7YthQ_jis4ZAxtKCOew,serbocroatian,Serbo Croatian
CKQRmTkIuz3E0H9Lxv4Nzw,panasian,Pan Asian
9Uih8R-kHPO6QIra-CjtQw,greek,Greek
qlWbNZaKXirvqm0hq_BO7Q,italian,Italian
Uh7Dku50dXIfWmDiQ6xYQg,kebab,Kebab
RQqMIo4Ek0FJqJ2P5D3DDA,vegetarian,Vegetarian
EVZkD8TyGDlbYFz8v410FA,bistros,Bistros
a6_1MO12bUkQMWN3bKAKTw,italian,Italian
FLs5M08YQIGFx65y_yjCSw,restaurants,Restaurants
JMcS_pgzXcJoDTyug5U7QA,international,International
RtMCxMcwlDl3ZtQSklVR-Q,steak,Steakhouses
gnxogqKBPeZYngFzKcaj5w,kebab,Kebab
K1AwSdC8Sd0SEZumdNh9Pw,international,International
NgCFYoLGiXzjrwQGDV2W8Q,fischbroetchen,Fischbroetchen
nugXt5zdBJw3xpscNmkwcw,pizza,Pizza
DCjxHknq-_I-m8-e0yVJ_A,cocktailbars,Cocktail Bars
rWLMSvU75oNyUAq9aR2I1g,german,German
xL83_3wwHpUy8VlegrjYgQ,brazilian,Brazilian
h48R1_44cHxVB6DuWJkRfw,thai,Thai
lI3WCd2uVB1Bgoy_Gu4fxQ,hotdogs,Fast Food
eH1rB0Kc5CX-szUqsWeiCg,steak,Steakhouses
dKmVeXBONK-Ky3lr83kYvA,hotdogs,Fast Food
ZYzMjE-TO_m3pcbC3gVFSg,seafood,Seafood
les2_m_bDxfAflDLDtStkg,currysausage,Curry Sausage
8_ZQO67CJEjBox0fqOA0Dw,kebab,Kebab
r109Jqlib2MXiZhlc_IaiQ,hotdogs,Fast Food
mpxfxZg4yEkvNEaiB4Ting,german,German
18NbyuHVcmHFQHniZpt5LQ,fischbroetchen,Fischbroetchen
5vxkcyXLuqOuDQNW9aCyRw,cafes,Cafes
BUxiGAHxRjtM82ywFjV_bw,kebab,Kebab
Mrn-cXjAt7L168a8gGDyug,fooddeliveryservices,Food Delivery Services
UUCWxYZuVvwFSBQDeXCy9A,italian,Italian
t2KeQPf2njyeUstJ80yWmg,turkish,Turkish
Xw8JuSvkCJXP_veYJWafvw,bistros,Bistros
kVRS_McR3zw0Ql4wcQIqfQ,delicatessen,Delicatessen
AU5b-bvmRWAoP2A9-EvGbQ,hotdogs,Fast Food
D0nfIlvK_wTibaSS9LyoqQ,german,German
CbUiL17tlxO2GqF6ckuBfQ,hotels,Hotels
fr2Cwrn5sR1id2P9eU2pIA,mexican,Mexican
KNgLSOq74uet45R_GgMOfA,cafes,Cafes
fAg5Pzglm70q2pjFl941ow,pizza,Pizza
DjrUqDZfLxqlLjWNhp9_Tw,cafes,Cafes
JLME-JhmhywsfAjxdGukJg,lounges,Lounges
1PycgNQ8LeD0tigqdTM5Zw,divebars,Dive Bars
ar8n2pUvaFSD7k6hK1IQHA,foodstands,Food Stands
0eRwKOR0cRr25xWKQkaUxg,hotdogs,Fast Food
E9dmhyidDuuUTPMBYS4cVw,cafes,Cafes
EiRV0a-OAkBMUonaYf-jXw,vietnamese,Vietnamese
QT6cMEwYzsTEFaQ2Iob6-g,indpak,Indian
gAGnFIZbHDSlzsH2ATizNg,turkish,Turkish
KQ8Wlwj0F4nDhtiuS7dCAg,pizza,Pizza
8hwCKvb8ks_FBjP4ujY1Hw,hotdogs,Fast Food
jRwG8fGkXFkRpsRnnFuyIg,cafes,Cafes
OiRjhR0XPYINaGdKY6pSAw,pizza,Pizza
G4zsU0sJR31QUzYWd8wrlw,breakfast_brunch,Breakfast & Brunch
MAMwjqbBtwhc5hEvn8-2TQ,german,German
KNricMRGqktNGZWp-aoyEg,hotdogs,Fast Food
X8SOo9tuM7pzU78H8rx0Zw,juicebars,Juice Bars & Smoothies
xQ9mWuzzbzULyF597RInPg,cafes,Cafes
JC6gdUGy79FIUd6T24wUIQ,foodstands,Food Stands
NSAJr-jy7QCoGSvvsuA3Bw,hotdogs,Fast Food
aV6FjXhMxupF7l26q1mcaw,burgers,Burgers
i54hs9R9ZDMYQb8CkXd33g,hotdogs,Fast Food
SVQN8XTfkjCVD3U18EslLQ,juicebars,Juice Bars & Smoothies
B89ymG_m9xwOuQ0CWh5obg,turkish,Turkish
4b6hJXdu-YanZmA93i45Gw,sandwiches,Sandwiches
4-kUVcQhE_ErgwIPGhanqg,food,Food
NlpB1dQu2XiRQSeTV733dw,hotdogs,Fast Food
SAOF8FII-H4PfIV5J9-p5A,chinese,Chinese
DIVGBv1Wi_VHjH7QEY76NA,turkish,Turkish
_7drLx2S3W9MRaSGq7I5og,steak,Steakhouses
ytna7AExPNRhMVE0JWb2lg,greek,Greek
lsvCI5YWm-9xAJ2Mujc9oA,mediterranean,Mediterranean
k9ItjxDeGs52UDh4EjcfRQ,halal,Halal
iJdyFvgYnEFInkfDkCjiQQ,chinese,Chinese
KaMlL3EyCdcSzkDAfVIt-g,german,German
ng4easez7Xfrmr0yqYzbJg,pizza,Pizza
mf57nmVCUd0KL3CdqSIphQ,northerngerman,Northern German
p154M1TKs2ILBPVdSX9CbA,german,German
_BNYVKl7NdOIzbpEfeFD0Q,pizza,Pizza
kUPu-a5NGKnDVWa4gjoKmQ,german,German
VmKHDB9yn_W5vXAI13Ojkw,german,German
kfGyGne8Qn3mxvhXHzMIyQ,hotdogs,Fast Food
RUvELTNuACC7Q89V3-0QbQ,hotdogs,Fast Food
agbaBEb4rmoaZ3h09UTdIg,greek,Greek
ZaXibVd2g4B38GUxI22v4Q,greek,Greek
gmU8_qjS5m4hKHl3g2M7wA,greek,Greek
OjiJ_8pv3PQJbH1Rbxd6Vw,hotdogs,Fast Food
Y3Bsu-Fkjhsw8VEaYylimw,german,German
obRhSBOl1pAwV8Jz-02KFQ,pizza,Pizza
WD4KmmTtqnOn8kJMC4er1w,fooddeliveryservices,Food Delivery Services
JqMC608vO708M-83lqNlWA,hotdogs,Fast Food
TP2FO0XHHYiSkc9n11_whA,canteen,Canteen
w15gfISowfag6zXhxzzixw,coffee,Coffee & Tea
aOVr_1InH-itw8xNtb2htw,sports_clubs,Sports Clubs
xWPaFWRxkCkBE2Ht-ggMkg,restaurants,Restaurants
2JZ__YSSPGnO8hLmwjAXVQ,kebab,Kebab
SQ-SJMjgBl45p31AbZtPYg,cafes,Cafes
jJck6CD-Z9C-L69HVNI_Jw,sushi,Sushi Bars
HGZAdxmEZja3-J06xwYzwQ,food,Food
P84L8e-FePm3E_QI9T-pSg,german,German
id08Do4Ptgy242hN7U_aDQ,german,German
EjXjO4cViVs9srn6F7HDzg,foodstands,Food Stands
ZnMn7l4omxFSPvl81-FOUQ,mongolian,Mongolian
QVDVdmM_wjuaBKrF3H6SOg,hotdogs,Fast Food
vAiTH_rv_MxcY_bCxZBh7g,german,German
FVVX2Oe7oSom6zCKH2xj3Q,german,German
d_yLXRsiZdR-mR6bwNY4pw,thai,Thai
4oZNJok1BHE1VoWiTC5HBg,mediterranean,Mediterranean
XUnMTJOcHPwzwfxbRemd0g,greek,Greek
5DVDP-5Wp1QIqWsD_gM1zw,kebab,Kebab
-1w7WxKQmGY7HTknewjv-Q,pizza,Pizza
d2ISxz_CO2mzTj7dcQszRw,pizza,Pizza
n_Yio-a9VzssOtDbgezpRA,foodtrucks,Food Trucks
APvIA_7ssxgC0atmQEFMcg,foodtrucks,Food Trucks
cGIKCcR0wZszz8VldC2-7g,foodtrucks,Food Trucks
SeodQIjOcsrznD7rwIB-Jw,burgers,Burgers
z111X_0D0eONCDL2EtSAaA,greek,Greek
dyIcQ0Aavrhchxq9ckJHQQ,cafes,Cafes
TT2qrIUU5O4RVRyMdcPMTQ,pizza,Pizza
uHc4UEeB61WcdGsIXtxz1A,hotdogs,Fast Food
iDbFa_QS9dWsxaVWCZjy8Q,italian,Italian
uwN7W2qQoeTgwR2RtbzE3Q,international,International
Lz0Ub6tuzImPgQJZCLv8qA,kebab,Kebab
wEtVg37Ypxat_mW1ZrRuWg,serbocroatian,Serbo Croatian
eB5ZgXwqX4OjH3PjvcVqqw,italian,Italian
Zv1LeZIpUf-fgVDZnfsTyg,italian,Italian
GK_fTWOJbRbQO30X1t58-A,indpak,Indian
8RTFCEVFVel7jHWdyzyS7g,vietnamese,Vietnamese
zSJs6UlQpjoeyYtP0KmIXw,sushi,Sushi Bars
Zz4ls--O20WxfSrE-Mardg,sushi,Sushi Bars
VYiOF0mjK_FuOVMWxSs-Ag,international,International
QvEg8ddyF1ZbpZ-q1YxnwA,fooddeliveryservices,Food Delivery Services
XguDzRJ2azu46Kze_kRgCA,greek,Greek
f5g2ILmgueS9e83nQ4N77g,hotdogs,Fast Food
-ihNFjY9pJ247MVW51LvEQ,sushi,Sushi Bars
5ofzRX3nd1gxx9e9z7MASw,pizza,Pizza
HyAhvvMP0iVtRYjm6VWyGA,german,German
XUkBWdxfYvIQ9J3Dq5BtIw,international,International
ipf3737p-Jpij5seiTyztg,german,German
nuC2B4JHpAGoRMq5FUCeRw,panasian,Pan Asian
DEm3YYWieo1IwwnNsCMWQw,italian,Italian
1mSvHvNrgw8QDONThwxEMQ,hotdogs,Fast Food
2owx8XU_Kh6NQYkWDCOHfA,italian,Italian
UsN7oty__ct1qIZLJ2SSkQ,cafes,Cafes
YvxXpdzIc8JEAs5LrzePDQ,cafes,Cafes
QOgAHBJ-mrD0tRC3rLOEvg,potatoes,Potatoes
po87ojNd_qixKGwCCQboLQ,cafes,Cafes
nXrodL-98LfldQ-dJfmxdw,steak,Steakhouses
e7ddDbWUKeYiuy4cGDTUdw,divebars,Dive Bars
5ZD5tiAehHozj6CNAa_57g,panasian,Pan Asian
TttYOxgubZqsIApBXps3xw,bars,Bars
XF9HfsuWnwXbZhb73aoGXw,fischbroetchen,Fischbroetchen
9S37wxwpvOG8JMS2LNEH3A,hotdogs,Fast Food
tGQv0AasqyralxGUsJIZqQ,international,International
MjvA08ZvJZu0J29TPqUS-Q,cafes,Cafes
