,x,y,distance_to_water,restaurant_density
0,548645.0,5916563,8985.93072035468,0
1,548645.0,5917563,8171.34765786947,0
2,548645.0,5918563,7402.357339423961,0
3,548645.0,5919563,6693.583639145595,0
4,548645.0,5920563,6065.9726564921175,0
5,548645.0,5921563,5486.794922151702,0
6,548645.0,5922563,4965.527400704871,0
7,548645.0,5923563,4605.215110779522,0
8,548645.0,5924563,4305.013179243492,0
9,548645.0,5925563,3728.1598375652156,0
10,548645.0,5926563,3245.9689642682424,0
11,548645.0,5927563,2679.843529952988,0
12,548645.0,5928563,2413.8782432154976,0
13,548645.0,5929563,2202.6978806626767,0
14,548645.0,5930563,2362.354103515702,0
15,548645.0,5931563,2332.6415143758536,0
16,548645.0,5932563,1950.9534203654262,0
17,548645.0,5933563,957.7031511746303,0
18,548645.0,5934563,7.793091419479405,0
19,548645.0,5935563,35.85433971560655,0
20,548645.0,5936563,103.2354135063042,0
21,548645.0,5937563,110.15966535358508,0
22,548645.0,5938563,617.2824068069497,0
23,548645.0,5939563,737.9388075470741,0
24,548645.0,5940563,1218.4622006973837,0
25,548645.0,5941563,1440.4764577939643,0
26,548645.0,5942563,1735.8168572414152,0
27,548645.0,5943563,2270.3759277988306,0
28,548645.0,5944563,2959.437594082439,0
29,548645.0,5945563,3651.2137544268785,0
30,548645.0,5946563,4461.440674015916,0
31,548645.0,5947563,5336.435504623958,0
32,548645.0,5948563,6249.05072009011,0
33,548645.0,5949563,7184.96526849687,0
34,548645.0,5950563,8136.142631293645,0
35,548645.0,5951563,9097.796871990571,0
36,548645.0,5952563,10066.925992141245,0
37,548645.0,5953563,11041.561933825149,0
38,548645.0,5954563,12020.365258416407,0
39,549645.0,5916563,8454.022477563914,0
40,549645.0,5917563,7604.986140005106,0
41,549645.0,5918563,6771.985368001372,0
42,549645.0,5919563,5990.305289313691,0
43,549645.0,5920563,5281.374672854416,0
44,549645.0,5921563,4678.127912973366,0
45,549645.0,5922563,4096.027005810478,0
46,549645.0,5923563,3650.887711465518,0
47,549645.0,5924563,3446.813736065688,0
48,549645.0,5925563,2896.2626360572895,0
49,549645.0,5926563,2398.827746628684,0
50,549645.0,5927563,1834.89958472741,0
51,549645.0,5928563,1418.4862756019415,0
52,549645.0,5929563,1205.4898915449476,0
53,549645.0,5930563,1472.214682927288,0
54,549645.0,5931563,1409.0834615858569,0
55,549645.0,5932563,1214.7708428714159,0
56,549645.0,5933563,836.7506780418958,0
57,549645.0,5934563,3.1614740255244667,0
58,549645.0,5935563,43.37800025933877,0
59,549645.0,5936563,51.669875725801,0
60,549645.0,5937563,64.36430367839492,1
61,549645.0,5938563,19.259952190523087,0
62,549645.0,5939563,113.46074649758748,0
63,549645.0,5940563,264.82902936852435,0
64,549645.0,5941563,524.0403924388169,0
